id,timestamp,pressure_values
1,50417061,101202
2,50416959,101189
3,50416880,101182
1,50417081,101202
2,50416999,101188
3,50416900,101182
1,50417121,101202
2,50417019,101189
3,50416940,101181
1,50417161,101203
2,50417059,101189
3,50416960,101182
1,50417221,101203
2,50417119,101189
3,50417020,101183
1,50417261,101203
2,50417159,101188
3,50417080,101182
1,50417321,101202
2,50417219,101188
3,50417140,101183
1,50417361,101203
2,50417259,101189
3,50417160,101181
1,50417421,101203
2,50417319,101189
3,50417220,101182
1,50417461,101202
2,50417359,101189
3,50417280,101182
1,50417561,101202
2,50417439,101190
3,50417360,101183
1,50417581,101202
2,50417479,101189
3,50417400,101181
1,50417621,101203
2,50417519,101188
3,50417420,101182
1,50417661,101203
2,50417559,101189
3,50417480,101182
1,50417721,101203
2,50417619,101188
3,50417540,101182
1,50417761,101203
2,50417659,101189
3,50417560,101182
1,50417781,101202
2,50417679,101190
3,50417600,101182
1,50417821,101202
2,50417719,101189
3,50417620,101182
1,50417861,101202
2,50417759,101189
3,50417680,101182
1,50417921,101203
2,50417819,101189
3,50417740,101182
1,50417981,101202
2,50417879,101189
3,50417800,101182
1,50418021,101203
2,50417919,101189
3,50417820,101182
1,50418081,101202
2,50417979,101189
3,50417880,101182
1,50418121,101203
2,50418019,101189
3,50417940,101183
1,50418181,101203
2,50418079,101189
3,50418000,101182
1,50418221,101202
2,50418119,101188
3,50418020,101182
1,50418281,101203
2,50418179,101188
3,50418080,101182
1,50418321,101203
2,50418219,101189
3,50418140,101182
1,50418341,101202
2,50418259,101189
3,50418160,101182
1,50418381,101203
2,50418279,101189
3,50418200,101183
1,50418421,101202
2,50418319,101189
3,50418220,101182
1,50418441,101204
2,50418339,101189
3,50418260,101183
1,50418481,101203
2,50418379,101190
3,50418280,101182
1,50418521,101203
2,50418419,101188
3,50418340,101182
1,50418581,101202
2,50418479,101188
3,50418400,101182
1,50418621,101202
2,50418519,101189
3,50418420,101182
1,50418641,101202
2,50418539,101189
3,50418460,101182
1,50418681,101202
2,50418579,101189
3,50418500,101182
1,50418721,101203
2,50418619,101189
3,50418540,101182
1,50418741,101203
2,50418639,101188
3,50418560,101181
1,50418781,101202
2,50418679,101189
3,50418600,101182
1,50418841,101202
2,50418739,101189
3,50418660,101182
1,50418881,101202
2,50418779,101189
3,50418700,101182
1,50418941,101202
2,50418839,101189
3,50418760,101183
1,50418981,101203
2,50418879,101189
3,50418800,101182
1,50419041,101203
2,50418939,101189
3,50418860,101181
1,50419081,101202
2,50418979,101189
3,50418900,101182
1,50419141,101202
2,50419039,101190
3,50418960,101182
1,50419181,101203
2,50419079,101189
3,50419000,101182
1,50419241,101202
2,50419139,101189
3,50419060,101183
1,50419281,101203
2,50419179,101189
3,50419100,101182
1,50419341,101203
2,50419239,101189
3,50419160,101182
1,50419381,101203
2,50419279,101188
3,50419200,101182
1,50419401,101203
2,50419299,101189
3,50419220,101182
1,50419441,101202
2,50419339,101189
3,50419260,101182
1,50419481,101202
2,50419379,101188
3,50419300,101182
1,50419541,101202
2,50419439,101188
3,50419360,101182
1,50419581,101202
2,50419479,101188
3,50419400,101183
1,50419601,101203
2,50419499,101189
3,50419420,101181
1,50419641,101202
2,50419539,101189
3,50419460,101182
1,50419681,101203
2,50419579,101189
3,50419480,101182
1,50419701,101202
2,50419599,101189
3,50419520,101181
1,50419741,101202
2,50419639,101189
3,50419560,101182
1,50419801,101202
2,50419699,101189
3,50419620,101182
1,50419841,101203
2,50419739,101189
3,50419660,101181
1,50419901,101203
2,50419799,101189
3,50419720,101182
1,50419941,101202
2,50419839,101189
3,50419760,101182
1,50420001,101202
2,50419899,101189
3,50419820,101181
1,50420041,101202
2,50419939,101188
3,50419860,101181
1,50420101,101202
2,50419999,101189
3,50419920,101181
1,50420141,101202
