id,timestamp,pressure_values
1,50760701,101203
2,50760599,101195
3,50760500,101189
1,50760721,101204
2,50760619,101195
3,50760540,101189
1,50760761,101203
2,50760659,101195
3,50760560,101190
1,50760821,101203
2,50760699,101195
3,50760620,101190
1,50760841,101203
2,50760739,101195
3,50760660,101189
1,50760861,101203
2,50760759,101195
3,50760680,101189
1,50760901,101203
2,50760799,101195
3,50760700,101189
1,50760921,101203
2,50760819,101195
3,50760740,101188
1,50760961,101203
2,50760859,101195
3,50760760,101189
1,50761001,101204
2,50760899,101195
3,50760800,101190
1,50761021,101203
2,50760919,101195
3,50760820,101190
1,50761061,101203
2,50760959,101196
3,50760880,101189
1,50761121,101203
2,50761019,101195
3,50760940,101190
1,50761161,101203
2,50761059,101195
3,50760960,101190
1,50761181,101203
2,50761079,101195
3,50761000,101189
1,50761221,101203
2,50761119,101194
3,50761020,101189
1,50761261,101203
2,50761159,101195
3,50761080,101189
1,50761361,101203
2,50761239,101195
3,50761160,101190
1,50761381,101203
2,50761279,101195
3,50761200,101189
1,50761421,101204
2,50761319,101195
3,50761220,101190
1,50761461,101204
2,50761359,101195
3,50761280,101190
1,50761521,101203
2,50761419,101195
3,50761340,101190
1,50761561,101204
2,50761459,101196
3,50761360,101191
1,50761581,101203
2,50761479,101196
3,50761400,101190
1,50761621,101203
2,50761519,101195
3,50761420,101190
1,50761661,101202
2,50761559,101196
3,50761480,101190
1,50761721,101203
2,50761619,101195
3,50761540,101189
1,50761781,101203
2,50761679,101195
3,50761600,101190
1,50761821,101204
2,50761719,101196
3,50761620,101190
1,50761841,101203
2,50761739,101195
3,50761660,101191
1,50761881,101204
2,50761779,101195
3,50761680,101190
1,50761921,101203
2,50761819,101195
3,50761740,101190
1,50761961,101203
2,50761859,101196
3,50761760,101190
1,50761981,101203
2,50761879,101195
3,50761800,101190
1,50762021,101204
2,50761919,101196
3,50761820,101190
1,50762041,101203
2,50761939,101195
3,50761860,101191
1,50762081,101204
2,50761979,101196
3,50761880,101190
1,50762121,101203
2,50762019,101195
3,50761940,101191
1,50762181,101204
2,50762079,101196
3,50762000,101191
1,50762221,101204
2,50762119,101195
3,50762020,101190
1,50762241,101204
2,50762139,101195
3,50762060,101190
1,50762281,101204
2,50762179,101195
3,50762080,101190
1,50762321,101203
2,50762219,101195
3,50762140,101191
1,50762341,101203
2,50762239,101195
3,50762160,101190
1,50762381,101203
2,50762279,101195
3,50762200,101190
1,50762421,101203
2,50762319,101195
3,50762240,101190
1,50762441,101203
2,50762339,101195
3,50762260,101190
1,50762521,101204
2,50762419,101195
3,50762340,101190
1,50762541,101203
2,50762439,101194
3,50762360,101189
1,50762621,101204
2,50762519,101195
3,50762440,101190
1,50762641,101204
2,50762539,101195
3,50762460,101190
1,50762681,101204
2,50762579,101195
3,50762500,101190
1,50762721,101204
2,50762619,101196
3,50762540,101190
