id,timestamp,pressure_values
1,50973061,101202
2,50972959,101193
3,50972880,101192
1,50973121,101201
2,50973019,101194
3,50972940,101193
1,50973161,101202
2,50973059,101196
3,50972960,101193
1,50973181,101202
2,50973079,101196
3,50973000,101192
1,50973221,101202
2,50973119,101196
3,50973020,101192
1,50973241,101201
2,50973139,101196
3,50973060,101192
1,50973281,101202
2,50973179,101197
3,50973080,101192
1,50973321,101200
2,50973219,101196
3,50973140,101192
1,50973361,101201
2,50973259,101197
3,50973160,101192
1,50973381,101201
2,50973279,101197
3,50973200,101192
1,50973421,101201
2,50973319,101198
3,50973220,101192
1,50973441,101200
2,50973339,101198
3,50973260,101192
1,50973481,101201
2,50973379,101199
3,50973280,101193
1,50973521,101200
2,50973419,101199
3,50973340,101193
1,50973561,101201
2,50973459,101201
3,50973360,101194
1,50973581,101200
2,50973479,101200
3,50973400,101194
1,50973621,101200
2,50973519,101198
3,50973420,101194
1,50973641,101201
2,50973539,101199
3,50973460,101193
1,50973721,101201
2,50973619,101200
3,50973540,101194
1,50973761,101201
2,50973659,101199
3,50973560,101194
1,50973781,101200
2,50973679,101200
3,50973600,101194
1,50973821,101201
2,50973719,101200
3,50973620,101193
1,50973841,101200
2,50973739,101200
3,50973660,101194
1,50973881,101200
2,50973779,101200
3,50973680,101194
1,50973961,101201
2,50973859,101200
3,50973780,101194
1,50973981,101200
2,50973879,101200
3,50973800,101194
1,50974021,101200
2,50973919,101200
3,50973820,101194
1,50974041,101200
2,50973939,101200
3,50973860,101195
1,50974081,101200
2,50973979,101200
3,50973880,101195
1,50974101,101200
2,50973999,101199
3,50973920,101194
1,50974121,101200
2,50974019,101200
3,50973940,101194
1,50974181,101200
2,50974079,101200
3,50974000,101195
1,50974221,101200
2,50974119,101200
3,50974020,101196
1,50974241,101200
2,50974139,101200
3,50974060,101195
1,50974281,101200
2,50974179,101200
3,50974080,101195
1,50974301,101200
2,50974199,101200
3,50974120,101195
1,50974381,101201
2,50974279,101200
3,50974200,101196
1,50974421,101200
2,50974319,101201
3,50974220,101196
1,50974441,101200
2,50974339,101200
3,50974260,101196
1,50974481,101201
2,50974379,101200
3,50974280,101196
1,50974501,101201
2,50974399,101201
3,50974320,101196
1,50974581,101200
2,50974479,101201
3,50974400,101196
1,50974621,101200
2,50974519,101201
3,50974420,101197
1,50974641,101200
2,50974539,101200
3,50974460,101198
1,50974681,101201
2,50974579,101201
3,50974480,101198
1,50974701,101200
2,50974599,101201
3,50974520,101197
1,50974721,101201
2,50974619,101200
3,50974540,101198
1,50974741,101201
2,50974639,101200
3,50974560,101200
1,50974781,101201
2,50974679,101201
3,50974600,101199
1,50974801,101200
2,50974699,101201
3,50974620,101199
1,50974841,101201
2,50974739,101201
3,50974660,101199
1,50974881,101201
2,50974779,101201
3,50974700,101199
1,50974901,101201
2,50974799,101201
3,50974720,101200
1,50974941,101200
2,50974839,101200
3,50974760,101199
1,50974961,101201
2,50974859,101200
3,50974780,101199
1,50974981,101200
2,50974879,101201
3,50974800,101199
1,50975001,101201
2,50974899,101200
