id,timestamp,pressure_values
1,51938731,101198
2,51938736,101189
3,51938714,101183
1,51938751,101199
2,51938756,101190
3,51938734,101184
1,51938771,101199
2,51938776,101190
3,51938754,101184
1,51938791,101198
2,51938796,101189
3,51938774,101184
1,51938811,101199
2,51938816,101190
3,51938794,101184
1,51938831,101199
2,51938836,101190
3,51938814,101184
1,51938851,101198
2,51938856,101190
3,51938834,101184
1,51938871,101198
2,51938876,101191
3,51938854,101183
1,51938891,101198
2,51938896,101190
3,51938874,101184
1,51938911,101198
2,51938916,101190
3,51938894,101184
1,51938931,101198
2,51938936,101190
3,51938914,101184
1,51938971,101198
2,51938976,101190
3,51938954,101183
1,51938991,101198
2,51938996,101190
3,51938974,101185
1,51939011,101198
2,51939016,101190
3,51938994,101184
1,51939031,101198
2,51939036,101191
3,51939014,101184
1,51939051,101199
2,51939056,101191
3,51939034,101184
1,51939071,101198
2,51939076,101190
3,51939054,101184
1,51939091,101199
2,51939096,101190
3,51939074,101184
1,51939111,101198
2,51939116,101190
3,51939094,101184
1,51939131,101198
2,51939136,101190
3,51939114,101184
1,51939151,101198
2,51939156,101191
3,51939134,101184
1,51939171,101198
2,51939176,101191
3,51939154,101184
1,51939191,101198
2,51939196,101190
3,51939174,101184
1,51939211,101198
2,51939216,101190
3,51939194,101184
1,51939231,101198
2,51939236,101190
3,51939214,101183
1,51939271,101198
2,51939276,101190
3,51939254,101183
1,51939291,101199
2,51939296,101190
3,51939274,101184
1,51939311,101198
2,51939316,101190
3,51939294,101183
1,51939331,101198
2,51939336,101190
3,51939314,101185
1,51939351,101198
2,51939356,101190
3,51939334,101184
1,51939371,101199
2,51939376,101190
3,51939354,101184
1,51939391,101199
2,51939396,101191
3,51939374,101184
1,51939411,101199
2,51939416,101190
3,51939394,101185
1,51939431,101199
2,51939436,101190
3,51939414,101184
1,51939451,101198
2,51939456,101191
3,51939434,101184
1,51939471,101198
2,51939476,101191
3,51939454,101184
1,51939491,101198
2,51939496,101190
3,51939474,101185
1,51939511,101198
2,51939516,101189
3,51939494,101184
1,51939531,101198
2,51939536,101190
3,51939514,101184
1,51939591,101199
2,51939596,101190
3,51939574,101184
1,51939611,101199
2,51939616,101190
3,51939594,101184
1,51939631,101198
2,51939636,101190
3,51939614,101184
1,51939651,101198
2,51939656,101190
3,51939634,101184
1,51939671,101198
