id,timestamp,pressure_values
1,52046511,101201
2,52046516,101188
3,52046494,101182
1,52046531,101201
2,52046536,101187
3,52046514,101182
1,52046551,101201
2,52046556,101188
3,52046534,101181
1,52046571,101201
2,52046576,101187
3,52046554,101181
1,52046591,101201
2,52046596,101188
3,52046574,101182
1,52046611,101201
2,52046616,101188
3,52046594,101182
1,52046631,101201
2,52046636,101188
3,52046614,101182
1,52046651,101201
2,52046656,101188
3,52046634,101182
1,52046671,101201
2,52046676,101188
3,52046654,101182
1,52046691,101202
2,52046696,101188
3,52046674,101182
1,52046731,101201
2,52046736,101188
3,52046714,101182
1,52046751,101202
2,52046756,101188
3,52046734,101181
1,52046771,101201
2,52046776,101188
3,52046754,101181
1,52046791,101201
2,52046796,101188
3,52046774,101181
1,52046811,101201
2,52046816,101187
3,52046794,101181
1,52046851,101201
2,52046856,101188
3,52046834,101181
1,52046871,101202
2,52046876,101187
3,52046854,101181
1,52046891,101202
2,52046896,101188
3,52046874,101180
1,52046911,101202
2,52046916,101187
3,52046894,101181
1,52046931,101201
2,52046936,101188
3,52046914,101181
1,52046951,101202
2,52046956,101187
3,52046934,101180
1,52046971,101201
2,52046976,101187
3,52046954,101181
1,52046991,101201
2,52046996,101188
3,52046974,101181
1,52047011,101201
2,52047016,101189
3,52046994,101181
1,52047031,101201
2,52047036,101188
3,52047014,101181
1,52047071,101201
2,52047076,101188
3,52047034,101181
1,52047091,101201
2,52047096,101187
3,52047074,101181
1,52047111,101201
2,52047116,101188
3,52047094,101181
1,52047131,101201
2,52047136,101188
3,52047114,101181
1,52047151,101201
2,52047156,101188
3,52047134,101180
1,52047171,101202
2,52047176,101187
3,52047154,101181
1,52047191,101201
2,52047196,101187
3,52047174,101180
1,52047211,101202
2,52047216,101188
3,52047194,101181
1,52047231,101202
2,52047236,101188
3,52047214,101181
1,52047251,101201
2,52047256,101187
3,52047234,101181
1,52047271,101201
2,52047276,101187
3,52047254,101181
1,52047291,101201
2,52047296,101188
3,52047274,101181
1,52047311,101201
2,52047316,101187
3,52047294,101180
1,52047331,101200
2,52047336,101187
3,52047314,101181
1,52047351,101201
2,52047356,101188
3,52047334,101181
1,52047371,101201
2,52047376,101188
3,52047354,101180
1,52047391,101201
2,52047396,101187
3,52047374,101181
1,52047411,101201
2,52047416,101187
3,52047394,101180
1,52047431,101201
2,52047436,101188
3,52047414,101182
1,52047451,101201
2,52047456,101188
3,52047434,101180
1,52047471,101200
2,52047476,101187
3,52047454,101181
1,52047491,101201
2,52047496,101188
