id,timestamp,pressure_values
1,52125911,101204
2,52125936,101191
3,52125914,101185
1,52125951,101204
2,52125956,101191
3,52125934,101185
1,52125971,101204
2,52125976,101190
3,52125954,101184
1,52125991,101204
2,52125996,101191
3,52125974,101184
1,52126011,101205
2,52126016,101192
3,52125994,101184
1,52126051,101204
2,52126056,101191
3,52126034,101185
1,52126071,101205
2,52126076,101191
3,52126054,101184
1,52126091,101204
2,52126096,101190
3,52126074,101184
1,52126111,101204
2,52126136,101190
3,52126114,101184
1,52126151,101204
2,52126156,101191
3,52126134,101184
1,52126171,101204
2,52126176,101190
3,52126154,101185
1,52126251,101204
2,52126256,101190
3,52126234,101184
1,52126271,101204
2,52126276,101191
3,52126254,101184
1,52126291,101203
2,52126296,101190
3,52126274,101185
1,52126311,101205
2,52126316,101190
3,52126294,101184
1,52126331,101204
2,52126336,101191
3,52126314,101185
1,52126351,101204
2,52126356,101191
3,52126334,101184
1,52126371,101205
2,52126376,101191
3,52126354,101184
1,52126391,101204
2,52126396,101191
3,52126374,101184
1,52126411,101204
2,52126416,101190
3,52126394,101184
1,52126451,101204
2,52126456,101191
3,52126434,101184
1,52126471,101205
2,52126476,101190
3,52126454,101185
1,52126511,101204
2,52126516,101191
3,52126494,101183
1,52126531,101204
2,52126536,101190
3,52126514,101184
1,52126571,101205
2,52126576,101190
3,52126534,101184
1,52126591,101205
2,52126596,101191
3,52126574,101183
1,52126611,101204
2,52126616,101191
3,52126594,101183
1,52126631,101204
2,52126636,101191
3,52126614,101183
1,52126651,101204
2,52126656,101191
3,52126634,101183
1,52126671,101204
2,52126676,101191
3,52126654,101184
1,52126691,101204
2,52126696,101190
3,52126674,101183
1,52126711,101205
2,52126716,101191
3,52126694,101184
1,52126731,101204
2,52126736,101191
3,52126714,101183
1,52126751,101205
2,52126756,101191
3,52126734,101184
1,52126791,101204
2,52126796,101191
3,52126774,101184
1,52126811,101205
2,52126816,101191
3,52126794,101183
1,52126831,101204
2,52126836,101190
3,52126814,101184
1,52126851,101204
2,52126856,101191
3,52126834,101183
1,52126871,101204
2,52126876,101191
3,52126854,101184
1,52126891,101204
2,52126896,101191
3,52126874,101183
1,52126911,101204
2,52126916,101191
3,52126894,101184
1,52126931,101204
2,52126936,101191
3,52126914,101183
1,52126951,101204
2,52126956,101190
3,52126934,101183
1,52126991,101205
2,52126996,101191
3,52126974,101183
1,52127011,101205
2,52127016,101191
3,52126994,101183
1,52127031,101204
2,52127036,101191
3,52127014,101184
1,52127051,101205
2,52127056,101191
3,52127034,101183
1,52127071,101204
2,52127076,101191
3,52127054,101183
1,52127111,101204
2,52127116,101191
3,52127094,101184
1,52127131,101205
2,52127136,101190
3,52127114,101184
1,52127191,101204
2,52127196,101191
3,52127174,101183
1,52127211,101204
2,52127216,101190
3,52127194,101183
1,52127231,101204
2,52127236,101191
3,52127214,101184
1,52127251,101204
2,52127256,101191
3,52127234,101184
1,52127271,101204
2,52127276,101191
3,52127254,101183
1,52127291,101204
2,52127296,101190
3,52127274,101184
1,52127311,101205
2,52127316,101191
3,52127294,101184
1,52127331,101204
2,52127336,101191
3,52127314,101184
1,52127351,101204
2,52127356,101190
3,52127334,101183
1,52127371,101205
2,52127376,101191
3,52127354,101183
1,52127391,101205
2,52127396,101191
3,52127374,101183
1,52127411,101204
2,52127416,101191
3,52127394,101184
1,52127431,101205
2,52127436,101191
3,52127414,101183
1,52127471,101204
2,52127476,101190
3,52127454,101183
1,52127491,101203
2,52127496,101191
3,52127474,101184
1,52127511,101205
2,52127516,101191
3,52127494,101185
1,52127531,101204
2,52127536,101190
3,52127514,101184
1,52127551,101204
2,52127556,101191
3,52127534,101184
1,52127571,101204
2,52127576,101191
3,52127554,101183
1,52127591,101205
2,52127596,101191
3,52127574,101184
1,52127611,101204
2,52127616,101191
3,52127594,101184
1,52127631,101204
2,52127636,101191
3,52127614,101184
1,52127651,101204
2,52127656,101191
3,52127634,101184
1,52127671,101203
2,52127676,101190
3,52127654,101184
1,52127691,101204
2,52127696,101190
3,52127674,101185
1,52127711,101205
2,52127716,101190
3,52127694,101184
1,52127751,101204
2,52127756,101190
3,52127734,101184
1,52127771,101204
2,52127776,101190
3,52127754,101184
1,52127791,101204
2,52127796,101191
3,52127774,101183
1,52127811,101204
2,52127816,101191
3,52127794,101184
1,52127851,101204
2,52127856,101191
3,52127834,101184
1,52127871,101204
2,52127876,101190
3,52127854,101184
1,52127891,101204
2,52127896,101190
3,52127874,101184
1,52127911,101204
2,52127916,101190
3,52127894,101184
1,52127971,101204
2,52127976,101190
3,52127954,101184
1,52128011,101204
2,52128016,101191
3,52127994,101184
1,52128031,101204
2,52128036,101190
3,52128014,101184
1,52128051,101204
2,52128056,101191
3,52128034,101184
1,52128071,101204
2,52128076,101191
3,52128054,101185
1,52128091,101204
2,52128096,101191
3,52128074,101184
1,52128111,101203
2,52128116,101190
3,52128094,101184
1,52128131,101202
2,52128136,101190
3,52128114,101184
1,52128151,101202
2,52128156,101191
3,52128134,101184
1,52128171,101202
2,52128176,101191
3,52128154,101184
1,52128191,101203
2,52128196,101190
3,52128174,101184
1,52128211,101203
2,52128216,101190
3,52128194,101184
1,52128231,101203
2,52128236,101189
3,52128214,101184
1,52128251,101204
2,52128256,101190
3,52128234,101184
1,52128271,101204
2,52128276,101190
3,52128254,101184
1,52128291,101204
2,52128296,101190
3,52128274,101184
1,52128311,101204
2,52128316,101190
3,52128294,101183
1,52128331,101204
2,52128336,101190
3,52128314,101184
1,52128351,101203
2,52128356,101191
3,52128334,101184
1,52128371,101203
2,52128376,101190
3,52128354,101185
1,52128391,101203
2,52128396,101190
3,52128374,101184
1,52128411,101203
2,52128416,101189
3,52128394,101184
1,52128451,101203
2,52128456,101190
3,52128434,101184
1,52128471,101203
2,52128476,101190
3,52128454,101184
1,52128491,101203
2,52128496,101190
3,52128474,101185
1,52128511,101203
2,52128516,101191
3,52128494,101184
1,52128531,101203
2,52128536,101190
3,52128514,101184
1,52128551,101204
2,52128556,101190
3,52128534,101184
1,52128571,101203
2,52128576,101190
3,52128554,101184
1,52128591,101203
2,52128596,101190
3,52128574,101184
1,52128611,101202
2,52128616,101190
3,52128594,101184
1,52128631,101203
2,52128636,101190
3,52128614,101184
1,52128651,101202
2,52128656,101190
3,52128634,101185
1,52128671,101202
2,52128676,101190
3,52128654,101185
1,52128711,101203
2,52128716,101190
3,52128694,101184
1,52128731,101203
2,52128736,101190
3,52128714,101184
1,52128751,101203
2,52128756,101190
3,52128734,101184
1,52128771,101203
2,52128776,101190
3,52128754,101185
1,52128811,101204
2,52128816,101189
3,52128794,101185
1,52128831,101203
2,52128836,101190
3,52128814,101185
1,52128871,101204
2,52128876,101190
3,52128854,101184
1,52128911,101204
2,52128916,101190
3,52128894,101184
1,52128931,101203
2,52128936,101190
3,52128914,101184
1,52128971,101204
2,52128976,101191
3,52128954,101184
1,52128991,101204
2,52128996,101190
3,52128974,101184
1,52129011,101204
2,52129016,101190
3,52128994,101184
1,52129051,101204
2,52129056,101191
3,52129034,101184
1,52129071,101204
2,52129076,101190
3,52129054,101184
1,52129091,101205
2,52129096,101190
3,52129074,101184
1,52129111,101204
2,52129116,101190
3,52129094,101184
1,52129131,101204
2,52129136,101190
3,52129114,101184
1,52129151,101204
2,52129156,101190
3,52129134,101184
1,52129171,101205
2,52129176,101190
3,52129154,101184
1,52129191,101205
2,52129196,101190
3,52129174,101184
1,52129211,101205
2,52129216,101190
3,52129194,101184
1,52129231,101204
2,52129236,101189
3,52129214,101184
1,52129251,101203
2,52129256,101190
3,52129234,101184
1,52129271,101203
2,52129276,101190
3,52129254,101184
1,52129291,101203
2,52129296,101190
3,52129274,101184
1,52129311,101203
2,52129316,101190
3,52129294,101184
1,52129331,101204
2,52129336,101190
3,52129314,101184
1,52129351,101204
2,52129356,101190
3,52129334,101184
1,52129371,101204
2,52129376,101191
3,52129354,101184
1,52129391,101204
2,52129396,101189
3,52129374,101185
1,52129411,101204
2,52129416,101190
3,52129394,101184
1,52129431,101205
2,52129436,101190
3,52129414,101184
1,52129451,101204
2,52129456,101190
3,52129434,101184
1,52129471,101204
2,52129476,101190
3,52129454,101185
1,52129491,101204
2,52129496,101190
3,52129474,101184
1,52129511,101203
2,52129516,101190
3,52129494,101183
1,52129531,101204
2,52129536,101189
3,52129514,101184
1,52129551,101203
2,52129556,101189
3,52129534,101184
1,52129571,101204
2,52129576,101190
3,52129554,101184
1,52129591,101204
2,52129596,101190
3,52129574,101184
1,52129611,101204
2,52129616,101189
3,52129594,101183
1,52129631,101204
2,52129636,101190
3,52129614,101184
1,52129671,101203
2,52129676,101191
3,52129654,101184
1,52129711,101203
2,52129716,101190
3,52129694,101183
1,52129731,101204
2,52129736,101191
3,52129714,101184
1,52129771,101204
2,52129776,101190
3,52129754,101184
1,52129791,101205
2,52129796,101190
3,52129774,101183
1,52129811,101204
2,52129816,101190
3,52129794,101184
1,52129871,101205
2,52129876,101190
3,52129854,101183
1,52129891,101205
2,52129896,101190
3,52129874,101184
1,52129911,101204
2,52129916,101190
3,52129894,101183
1,52129931,101204
2,52129936,101190
3,52129914,101183
1,52129951,101204
2,52129956,101191
3,52129934,101184
1,52129971,101203
2,52129976,101190
3,52129954,101183
1,52129991,101202
2,52129996,101189
3,52129974,101184
1,52130031,101204
2,52130036,101190
3,52130014,101183
1,52130051,101204
2,52130056,101190
3,52130034,101184
1,52130071,101203
2,52130076,101191
3,52130054,101184
1,52130091,101203
2,52130096,101190
3,52130074,101183
1,52130111,101202
2,52130116,101190
3,52130094,101184
1,52130131,101202
2,52130136,101190
3,52130114,101183
1,52130151,101202
2,52130156,101190
3,52130134,101184
1,52130171,101202
2,52130176,101190
3,52130154,101184
1,52130191,101202
2,52130196,101190
3,52130174,101184
1,52130211,101202
2,52130216,101190
3,52130194,101184
1,52130231,101202
2,52130236,101190
3,52130214,101183
1,52130251,101202
2,52130256,101190
3,52130234,101183
1,52130271,101203
2,52130276,101190
3,52130254,101184
1,52130291,101204
2,52130296,101189
3,52130274,101184
1,52130311,101204
2,52130316,101189
3,52130294,101184
1,52130331,101204
2,52130336,101190
3,52130314,101184
1,52130351,101204
2,52130356,101189
3,52130334,101185
1,52130371,101204
2,52130376,101189
3,52130354,101184
1,52130391,101204
2,52130396,101189
3,52130374,101183
1,52130411,101204
2,52130416,101189
3,52130394,101184
1,52130431,101203
2,52130436,101190
3,52130414,101183
1,52130451,101204
2,52130456,101190
3,52130434,101184
1,52130471,101204
2,52130476,101190
3,52130454,101184
1,52130491,101204
2,52130496,101191
3,52130474,101182
1,52130531,101204
2,52130536,101191
3,52130514,101183
1,52130551,101204
2,52130556,101190
3,52130534,101184
1,52130571,101204
2,52130576,101190
3,52130554,101183
1,52130591,101203
2,52130596,101190
3,52130574,101183
1,52130631,101204
2,52130636,101190
3,52130614,101183
1,52130651,101205
