id,timestamp,pressure_values
1,52203811,101202
2,52203816,101189
3,52203794,101183
1,52203831,101201
2,52203836,101190
3,52203814,101184
1,52203851,101201
2,52203856,101189
3,52203834,101183
1,52203871,101202
2,52203876,101190
3,52203854,101183
1,52203891,101202
2,52203896,101190
3,52203874,101184
1,52203911,101202
2,52203916,101190
3,52203894,101183
1,52203931,101202
2,52203936,101190
3,52203914,101183
1,52203951,101202
2,52203956,101190
3,52203934,101183
1,52203971,101202
2,52203976,101190
3,52203954,101183
1,52204011,101203
2,52204016,101190
3,52203994,101182
1,52204051,101202
2,52204056,101189
3,52204034,101183
1,52204091,101202
2,52204096,101189
3,52204054,101184
1,52204111,101203
2,52204116,101190
3,52204094,101183
1,52204131,101203
2,52204136,101189
3,52204114,101183
1,52204151,101202
2,52204156,101189
3,52204134,101184
1,52204171,101203
2,52204176,101190
3,52204154,101183
1,52204191,101201
2,52204196,101190
3,52204174,101184
1,52204211,101202
2,52204216,101190
3,52204194,101184
1,52204231,101202
2,52204236,101190
3,52204214,101184
1,52204251,101202
2,52204256,101190
3,52204234,101183
1,52204271,101204
2,52204276,101189
3,52204254,101184
1,52204291,101203
2,52204296,101189
3,52204274,101183
1,52204311,101203
2,52204316,101189
3,52204294,101183
1,52204331,101203
2,52204336,101190
3,52204314,101184
1,52204351,101203
2,52204356,101189
3,52204334,101182
1,52204371,101203
2,52204376,101189
3,52204354,101182
1,52204391,101203
2,52204396,101189
3,52204374,101182
1,52204411,101202
2,52204416,101189
3,52204394,101184
1,52204431,101203
2,52204436,101189
3,52204414,101183
1,52204451,101204
2,52204456,101189
3,52204434,101183
1,52204471,101203
2,52204476,101189
3,52204454,101183
1,52204491,101202
2,52204496,101190
3,52204474,101183
1,52204511,101204
2,52204516,101190
3,52204494,101183
1,52204531,101202
2,52204536,101189
3,52204514,101183
1,52204571,101203
2,52204576,101189
3,52204534,101183
1,52204591,101204
2,52204596,101190
3,52204574,101183
1,52204611,101203
2,52204616,101189
3,52204594,101183
1,52204631,101203
2,52204636,101190
3,52204614,101183
1,52204651,101204
2,52204656,101190
3,52204634,101183
1,52204671,101204
2,52204676,101189
3,52204654,101182
1,52204691,101204
2,52204696,101189
3,52204674,101183
1,52204711,101203
2,52204716,101189
3,52204694,101183
1,52204731,101203
2,52204736,101189
3,52204714,101183
1,52204751,101203
2,52204756,101189
3,52204734,101184
1,52204811,101203
2,52204816,101189
3,52204774,101183
1,52204831,101203
2,52204836,101190
3,52204794,101183
1,52204871,101202
2,52204876,101189
3,52204854,101183
1,52204891,101203
2,52204896,101189
3,52204874,101183
1,52204911,101202
2,52204916,101189
3,52204894,101183
1,52204931,101202
2,52204936,101190
3,52204914,101183
1,52204951,101203
2,52204956,101189
3,52204934,101183
1,52204971,101203
2,52204976,101189
3,52204954,101183
1,52204991,101203
2,52204996,101189
3,52204974,101183
1,52205011,101203
2,52205016,101189
3,52204994,101184
1,52205031,101203
2,52205036,101189
3,52205014,101183
1,52205091,101203
2,52205096,101189
3,52205074,101184
1,52205111,101203
2,52205116,101189
3,52205094,101183
1,52205131,101203
2,52205136,101189
3,52205114,101183
1,52205151,101203
2,52205156,101189
3,52205134,101183
1,52205171,101203
2,52205176,101189
3,52205154,101183
1,52205191,101203
2,52205196,101189
3,52205174,101183
1,52205211,101203
2,52205216,101190
3,52205194,101183
1,52205231,101203
2,52205236,101190
3,52205214,101182
1,52205251,101203
2,52205256,101189
3,52205234,101183
1,52205271,101203
2,52205276,101190
3,52205254,101183
1,52205291,101203
2,52205296,101190
3,52205274,101183
1,52205311,101203
2,52205316,101190
3,52205294,101183
1,52205331,101203
2,52205336,101190
3,52205314,101183
1,52205351,101203
2,52205356,101190
3,52205334,101182
1,52205371,101203
2,52205376,101190
3,52205354,101182
1,52205391,101203
2,52205396,101189
3,52205374,101182
1,52205411,101203
2,52205416,101190
3,52205394,101183
1,52205431,101203
2,52205436,101190
3,52205414,101183
1,52205451,101203
2,52205456,101189
3,52205434,101182
1,52205471,101203
2,52205476,101189
3,52205454,101182
1,52205491,101203
2,52205496,101189
3,52205474,101183
1,52205511,101203
2,52205516,101189
3,52205494,101183
1,52205531,101203
2,52205536,101189
3,52205514,101183
1,52205551,101203
2,52205576,101190
3,52205554,101182
1,52205591,101203
2,52205596,101189
3,52205574,101182
1,52205611,101203
2,52205616,101190
3,52205594,101183
1,52205631,101203
2,52205636,101189
3,52205614,101183
1,52205651,101203
2,52205656,101189
3,52205634,101182
1,52205671,101202
2,52205676,101190
3,52205654,101182
1,52205731,101203
2,52205736,101189
3,52205714,101182
1,52205751,101202
2,52205756,101190
3,52205734,101182
1,52205771,101203
2,52205776,101189
3,52205754,101183
1,52205791,101202
2,52205796,101189
3,52205774,101184
1,52205831,101203
2,52205836,101190
3,52205814,101183
1,52205851,101202
2,52205856,101189
3,52205834,101184
1,52205871,101202
2,52205876,101189
3,52205854,101183
1,52205891,101202
2,52205896,101189
3,52205874,101183
1,52205931,101202
2,52205936,101190
3,52205914,101184
1,52205951,101201
2,52205956,101189
3,52205934,101183
1,52205971,101202
2,52205976,101190
3,52205954,101183
1,52206031,101203
2,52206036,101189
3,52206014,101183
1,52206051,101203
2,52206056,101189
3,52206034,101184
1,52206071,101203
2,52206076,101190
3,52206054,101183
1,52206091,101203
2,52206096,101189
3,52206074,101183
1,52206111,101203
