id,timestamp,pressure_values
1,52304491,101206
2,52304496,101193
3,52304474,101186
1,52304511,101206
2,52304516,101193
3,52304494,101186
1,52304551,101206
2,52304556,101192
3,52304534,101187
1,52304571,101206
2,52304576,101193
3,52304554,101186
1,52304591,101206
2,52304596,101193
3,52304574,101187
1,52304611,101206
2,52304616,101193
3,52304594,101187
1,52304631,101206
2,52304636,101193
3,52304614,101186
1,52304651,101206
2,52304656,101193
3,52304634,101186
1,52304671,101206
2,52304676,101193
3,52304654,101186
1,52304691,101206
2,52304696,101193
3,52304674,101186
1,52304711,101206
2,52304716,101193
3,52304694,101186
1,52304731,101206
2,52304736,101192
3,52304714,101186
1,52304751,101207
2,52304756,101192
3,52304734,101186
1,52304771,101206
2,52304776,101193
3,52304754,101186
1,52304791,101206
2,52304796,101193
3,52304774,101187
1,52304811,101207
2,52304816,101193
3,52304794,101186
1,52304831,101206
2,52304836,101192
3,52304814,101186
1,52304851,101206
2,52304856,101192
3,52304834,101186
1,52304871,101206
2,52304876,101193
3,52304854,101187
1,52304891,101206
2,52304896,101192
3,52304874,101187
1,52304911,101206
2,52304916,101192
3,52304894,101186
1,52304931,101206
2,52304936,101192
3,52304914,101186
1,52304951,101206
2,52304956,101192
3,52304934,101186
1,52304971,101206
2,52304976,101193
3,52304954,101187
1,52304991,101206
2,52304996,101193
3,52304974,101187
1,52305011,101206
2,52305016,101193
3,52304994,101186
1,52305031,101206
2,52305036,101193
3,52305014,101186
1,52305051,101206
2,52305056,101193
3,52305034,101186
1,52305071,101206
2,52305076,101193
3,52305054,101187
1,52305091,101206
2,52305096,101193
3,52305074,101187
1,52305111,101206
2,52305116,101193
3,52305094,101187
1,52305131,101206
2,52305136,101192
3,52305114,101187
1,52305151,101206
2,52305156,101193
3,52305134,101186
1,52305171,101206
2,52305176,101192
3,52305154,101187
1,52305211,101206
2,52305216,101192
3,52305194,101187
1,52305231,101207
2,52305236,101193
3,52305214,101187
1,52305251,101206
2,52305256,101192
3,52305234,101187
1,52305271,101206
2,52305276,101192
3,52305254,101186
1,52305291,101206
2,52305296,101192
3,52305274,101186
1,52305311,101206
2,52305316,101192
3,52305294,101186
1,52305331,101207
2,52305336,101193
3,52305314,101186
1,52305351,101205
2,52305356,101192
3,52305334,101186
1,52305371,101206
2,52305376,101193
3,52305354,101186
1,52305411,101207
2,52305416,101193
3,52305394,101187
1,52305451,101205
2,52305456,101192
3,52305414,101186
1,52305471,101206
2,52305476,101193
3,52305454,101186
1,52305491,101206
2,52305496,101193
3,52305474,101186
1,52305511,101207
2,52305516,101193
3,52305494,101186
1,52305531,101206
2,52305536,101192
3,52305514,101186
1,52305551,101206
2,52305556,101192
3,52305534,101186
1,52305571,101205
2,52305576,101192
3,52305554,101186
1,52305591,101206
2,52305596,101192
3,52305574,101186
1,52305631,101207
2,52305636,101193
3,52305594,101187
1,52305671,101205
2,52305676,101193
3,52305654,101186
1,52305691,101205
2,52305696,101192
