index,delta3_1,delta3_2,delta2_1,label
0,325,259,66,sit
1,334,259,75,sit
2,334,259,75,sit
3,334,259,75,sit
4,325,259,66,sit
5,325,259,66,sit
6,316,250,66,sit
7,316,250,66,sit
8,316,250,66,sit
9,316,250,66,sit
10,316,250,66,sit
11,316,250,66,sit
12,325,259,66,sit
13,325,259,66,sit
14,325,259,66,sit
15,325,259,66,sit
16,325,259,66,sit
17,325,259,66,sit
18,325,259,66,sit
19,325,259,66,sit
20,325,259,66,sit
21,333,267,66,sit
22,333,267,66,sit
23,333,267,66,sit
24,325,259,66,sit
25,334,259,75,sit
26,334,259,75,sit
27,325,250,75,sit
28,316,250,66,sit
29,316,250,66,sit
30,316,250,66,sit
31,316,250,66,sit
32,316,258,58,sit
33,325,267,58,sit
34,325,267,58,sit
35,325,259,66,sit
36,316,250,66,sit
37,316,250,66,sit
38,316,250,66,sit
39,316,250,66,sit
40,316,250,66,sit
41,316,250,66,sit
42,325,259,66,sit
43,325,259,66,sit
44,325,250,75,sit
45,325,250,75,sit
46,325,250,75,sit
47,325,259,66,sit
48,325,259,66,sit
49,325,259,66,sit
50,325,259,66,sit
51,316,250,66,sit
52,316,250,66,sit
53,316,250,66,sit
54,325,259,66,sit
55,334,259,75,sit
56,334,259,75,sit
57,325,250,75,sit
58,325,250,75,sit
59,325,250,75,sit
60,325,250,75,sit
61,316,250,66,sit
62,316,250,66,sit
63,316,250,66,sit
64,325,250,75,sit
65,325,258,67,sit
66,317,250,67,sit
67,308,250,58,sit
68,308,250,58,sit
69,316,258,58,sit
70,316,258,58,sit
71,316,250,66,sit
72,316,250,66,sit
73,308,250,58,sit
74,308,258,50,sit
75,308,258,50,sit
76,316,258,58,sit
77,316,250,66,sit
78,325,259,66,sit
79,325,259,66,sit
80,325,259,66,sit
81,316,250,66,sit
82,325,250,75,sit
83,325,258,67,sit
84,325,258,67,sit
85,316,258,58,sit
86,316,250,66,sit
87,308,242,66,sit
88,317,242,75,sit
89,317,242,75,sit
90,325,250,75,sit
91,316,250,66,sit
92,316,250,66,sit
93,316,250,66,sit
94,316,250,66,sit
95,316,258,58,sit
96,316,258,58,sit
97,316,258,58,sit
98,316,250,66,sit
99,316,250,66,sit
100,325,250,75,sit
