index,delta3_1,delta3_2,delta2_1,label
0,375,258,117,stand
1,375,258,117,stand
2,375,258,117,stand
3,375,258,117,stand
4,366,258,108,stand
5,366,258,108,stand
6,366,258,108,stand
7,375,258,117,stand
8,375,250,125,stand
9,375,250,125,stand
10,366,250,116,stand
11,366,258,108,stand
12,366,258,108,stand
13,375,258,117,stand
14,375,258,117,stand
15,367,250,117,stand
16,367,250,117,stand
17,367,258,109,stand
18,375,266,109,stand
19,375,266,109,stand
20,375,258,117,stand
21,375,258,117,stand
22,375,258,117,stand
23,375,258,117,stand
24,375,258,117,stand
25,375,258,117,stand
26,375,258,117,stand
27,384,267,117,stand
28,384,267,117,stand
29,384,267,117,stand
30,375,258,117,stand
31,375,258,117,stand
32,375,258,117,stand
33,375,258,117,stand
34,366,258,108,stand
35,366,258,108,stand
36,358,250,108,stand
37,367,250,117,stand
38,367,250,117,stand
39,375,258,117,stand
40,366,258,108,stand
41,366,266,100,stand
42,366,266,100,stand
43,366,266,100,stand
44,366,258,108,stand
45,366,258,108,stand
46,366,258,108,stand
47,366,266,100,stand
48,358,258,100,stand
49,358,258,100,stand
50,358,250,108,stand
51,366,258,108,stand
52,375,258,117,stand
53,375,258,117,stand
54,375,258,117,stand
55,375,258,117,stand
56,375,266,109,stand
57,375,266,109,stand
58,366,266,100,stand
59,366,258,108,stand
60,366,258,108,stand
61,366,258,108,stand
62,366,258,108,stand
63,366,258,108,stand
64,375,258,117,stand
65,375,266,109,stand
66,375,266,109,stand
67,375,266,109,stand
68,375,266,109,stand
69,375,266,109,stand
70,375,266,109,stand
71,375,258,117,stand
72,384,267,117,stand
73,375,267,108,stand
74,375,267,108,stand
75,358,250,108,stand
76,367,250,117,stand
77,367,250,117,stand
78,375,258,117,stand
79,375,258,117,stand
80,375,258,117,stand
81,375,258,117,stand
82,375,258,117,stand
83,375,258,117,stand
84,375,258,117,stand
85,366,258,108,stand
86,366,258,108,stand
87,366,258,108,stand
88,375,258,117,stand
89,375,258,117,stand
90,367,250,117,stand
91,358,250,108,stand
92,358,250,108,stand
93,366,258,108,stand
94,375,258,117,stand
95,375,258,117,stand
96,375,258,117,stand
97,375,258,117,stand
98,375,266,109,stand
99,375,266,109,stand
100,366,266,100,stand
101,366,258,108,stand
102,366,258,108,stand
103,366,258,108,stand
104,366,258,108,stand
105,375,267,108,stand
106,384,267,117,stand
107,384,267,117,stand
108,375,258,117,stand
109,375,258,117,stand
110,375,258,117,stand
111,375,258,117,stand
112,366,258,108,stand
113,366,258,108,stand
114,366,258,108,stand
115,366,258,108,stand
116,366,258,108,stand
117,366,258,108,stand
118,366,258,108,stand
119,366,258,108,stand
120,375,267,108,stand
121,375,267,108,stand
122,375,267,108,stand
123,366,258,108,stand
124,375,258,117,stand
125,375,258,117,stand
126,375,258,117,stand
127,375,258,117,stand
128,375,258,117,stand
129,384,267,117,stand
130,375,267,108,stand
131,375,275,100,stand
132,375,275,100,stand
133,384,275,109,stand
134,384,267,117,stand
135,375,258,117,stand
136,375,258,117,stand
137,375,258,117,stand
138,375,258,117,stand
139,366,258,108,stand
140,366,266,100,stand
141,366,266,100,stand
142,366,266,100,stand
143,366,258,108,stand
144,366,258,108,stand
145,366,258,108,stand
146,366,266,100,stand
147,366,266,100,stand
148,366,266,100,stand
149,366,258,108,stand
150,366,258,108,stand
151,375,258,117,stand
152,375,266,109,stand
153,384,275,109,stand
154,375,275,100,stand
155,375,267,108,stand
156,375,267,108,stand
157,375,267,108,stand
158,375,275,100,stand
159,375,275,100,stand
160,375,275,100,stand
161,375,275,100,stand
162,366,266,100,stand
163,375,266,109,stand
164,375,258,117,stand
165,375,258,117,stand
166,366,258,108,stand
167,366,258,108,stand
168,375,267,108,stand
169,375,267,108,stand
170,375,267,108,stand
171,366,258,108,stand
172,366,258,108,stand
173,366,258,108,stand
174,375,267,108,stand
175,375,267,108,stand
176,375,275,100,stand
177,375,275,100,stand
178,384,275,109,stand
179,384,267,117,stand
180,375,258,117,stand
181,375,258,117,stand
182,375,258,117,stand
183,375,258,117,stand
184,375,258,117,stand
185,375,258,117,stand
186,375,258,117,stand
187,366,258,108,stand
188,366,250,116,stand
189,375,259,116,stand
190,384,259,125,stand
191,384,267,117,stand
192,375,258,117,stand
193,366,258,108,stand
194,366,258,108,stand
195,375,267,108,stand
196,375,267,108,stand
197,375,267,108,stand
198,375,267,108,stand
199,375,267,108,stand
