index,delta3_1,delta3_2,delta2_1,label
0,334,259,75,sit
1,342,259,83,sit
2,342,267,75,sit
3,333,258,75,sit
4,333,258,75,sit
5,333,258,75,sit
6,333,258,75,sit
7,325,258,67,sit
8,325,250,75,sit
9,325,250,75,sit
10,333,250,83,sit
11,333,258,75,sit
12,333,258,75,sit
13,333,258,75,sit
14,333,258,75,sit
15,333,258,75,sit
16,325,258,67,sit
17,325,258,67,sit
18,325,258,67,sit
19,325,258,67,sit
20,325,266,59,sit
21,334,275,59,sit
22,334,275,59,sit
23,334,267,67,sit
24,325,258,67,sit
25,325,258,67,sit
26,325,258,67,sit
27,325,258,67,sit
28,325,258,67,sit
29,325,258,67,sit
30,325,258,67,sit
31,325,258,67,sit
32,325,258,67,sit
33,334,267,67,sit
34,334,267,67,sit
35,334,267,67,sit
36,317,250,67,sit
37,317,250,67,sit
38,317,250,67,sit
39,325,258,67,sit
40,325,258,67,sit
41,325,266,59,sit
42,325,266,59,sit
43,333,266,67,sit
44,333,266,67,sit
45,333,266,67,sit
46,325,266,59,sit
47,325,258,67,sit
48,325,258,67,sit
49,333,258,75,sit
50,333,258,75,sit
51,333,258,75,sit
52,325,258,67,sit
53,325,258,67,sit
54,325,258,67,sit
55,325,258,67,sit
56,325,258,67,sit
57,325,258,67,sit
58,325,258,67,sit
59,325,266,59,sit
60,325,266,59,sit
61,325,266,59,sit
62,325,266,59,sit
63,325,266,59,sit
64,325,266,59,sit
65,325,258,67,sit
66,325,258,67,sit
67,325,258,67,sit
68,325,258,67,sit
69,325,258,67,sit
70,325,258,67,sit
71,325,258,67,sit
72,334,267,67,sit
73,334,267,67,sit
74,334,267,67,sit
75,334,267,67,sit
76,342,267,75,sit
77,342,267,75,sit
78,333,258,75,sit
79,325,258,67,sit
80,325,258,67,sit
81,334,267,67,sit
82,334,267,67,sit
83,334,267,67,sit
84,317,250,67,sit
85,317,250,67,sit
86,317,250,67,sit
87,325,258,67,sit
88,333,258,75,sit
89,333,258,75,sit
90,333,258,75,sit
91,333,258,75,sit
92,333,266,67,sit
93,333,266,67,sit
94,333,266,67,sit
95,333,258,75,sit
96,325,250,75,sit
97,325,250,75,sit
98,325,250,75,sit
99,333,258,75,sit
100,325,258,67,sit
101,325,266,59,sit
102,325,266,59,sit
103,325,266,59,sit
104,325,266,59,sit
105,325,266,59,sit
106,325,266,59,sit
107,325,258,67,sit
108,317,250,67,sit
109,317,250,67,sit
110,317,242,75,sit
111,325,250,75,sit
112,325,250,75,sit
113,325,258,67,sit
114,325,258,67,sit
115,333,258,75,sit
116,333,258,75,sit
117,333,258,75,sit
118,333,258,75,sit
119,333,258,75,sit
120,333,258,75,sit
121,325,258,67,sit
122,325,258,67,sit
123,325,258,67,sit
124,325,258,67,sit
125,325,258,67,sit
126,325,258,67,sit
127,325,258,67,sit
128,325,258,67,sit
129,325,258,67,sit
130,333,258,75,sit
131,333,258,75,sit
132,325,250,75,sit
133,325,250,75,sit
134,325,250,75,sit
135,325,250,75,sit
136,325,250,75,sit
137,325,250,75,sit
138,333,258,75,sit
139,325,258,67,sit
140,325,258,67,sit
141,317,250,67,sit
142,325,250,75,sit
143,325,250,75,sit
144,333,258,75,sit
145,325,258,67,sit
146,325,258,67,sit
147,325,258,67,sit
148,333,258,75,sit
149,333,250,83,sit
150,333,250,83,sit
151,333,250,83,sit
152,333,266,67,sit
153,333,266,67,sit
154,325,266,59,sit
155,325,258,67,sit
156,317,250,67,sit
157,325,250,75,sit
158,325,250,75,sit
159,333,258,75,sit
160,325,258,67,sit
161,325,258,67,sit
162,317,250,67,sit
163,317,250,67,sit
164,317,258,59,sit
165,325,266,59,sit
166,316,266,50,sit
167,316,258,58,sit
168,308,250,58,sit
169,317,250,67,sit
170,317,250,67,sit
171,317,250,67,sit
172,308,250,58,sit
173,308,250,58,sit
174,308,250,58,sit
175,317,250,67,sit
176,317,250,67,sit
177,325,258,67,sit
178,325,258,67,sit
179,325,258,67,sit
180,317,250,67,sit
181,317,250,67,sit
182,317,250,67,sit
183,317,250,67,sit
184,317,250,67,sit
185,317,258,59,sit
186,317,258,59,sit
187,325,258,67,sit
188,325,258,67,sit
189,333,266,67,sit
190,333,266,67,sit
191,333,258,75,sit
192,333,258,75,sit
193,333,258,75,sit
194,333,258,75,sit
195,333,258,75,sit
196,325,258,67,sit
197,325,258,67,sit
198,325,258,67,sit
199,333,258,75,sit
200,333,266,67,sit
201,333,266,67,sit
202,333,266,67,sit
203,333,266,67,sit
204,317,250,67,sit
205,317,250,67,sit
206,317,250,67,sit
207,325,258,67,sit
208,325,258,67,sit
209,325,258,67,sit
210,325,258,67,sit
211,325,258,67,sit
212,325,258,67,sit
213,325,258,67,sit
214,325,258,67,sit
215,325,250,75,sit
216,333,258,75,sit
217,333,258,75,sit
218,333,266,67,sit
219,325,258,67,sit
220,325,258,67,sit
221,325,258,67,sit
222,325,258,67,sit
223,325,258,67,sit
224,325,258,67,sit
225,325,258,67,sit
226,317,258,59,sit
227,317,258,59,sit
228,325,266,59,sit
229,333,266,67,sit
230,333,258,75,sit
231,333,258,75,sit
232,325,258,67,sit
233,325,266,59,sit
234,317,258,59,sit
235,317,258,59,sit
236,317,258,59,sit
237,317,258,59,sit
238,317,258,59,sit
239,317,258,59,sit
240,317,258,59,sit
241,325,258,67,sit
242,325,258,67,sit
243,325,258,67,sit
244,325,258,67,sit
245,325,258,67,sit
246,325,258,67,sit
247,317,258,59,sit
248,317,250,67,sit
249,317,250,67,sit
250,325,250,75,sit
251,325,258,67,sit
252,333,266,67,sit
253,333,266,67,sit
254,333,266,67,sit
255,325,258,67,sit
256,325,258,67,sit
257,325,267,58,sit
258,333,275,58,sit
259,333,275,58,sit
260,333,266,67,sit
261,333,266,67,sit
262,325,266,59,sit
263,325,266,59,sit
264,317,258,59,sit
265,333,258,75,sit
266,333,258,75,sit
267,333,258,75,sit
268,325,258,67,sit
269,325,258,67,sit
270,325,258,67,sit
