index,delta3_1,delta3_2,delta2_1,label
0,367,258,109,stand
1,367,258,109,stand
2,367,250,117,stand
3,367,250,117,stand
4,367,250,117,stand
5,367,258,109,stand
6,375,266,109,stand
7,375,266,109,stand
8,375,258,117,stand
9,375,258,117,stand
10,375,258,117,stand
11,375,266,109,stand
12,367,258,109,stand
13,367,258,109,stand
14,367,258,109,stand
15,367,258,109,stand
16,367,258,109,stand
17,367,258,109,stand
18,367,258,109,stand
19,367,258,109,stand
20,367,258,109,stand
21,367,258,109,stand
22,367,258,109,stand
23,367,258,109,stand
24,367,258,109,stand
25,375,258,117,stand
26,375,258,117,stand
27,375,258,117,stand
28,367,258,109,stand
29,367,258,109,stand
30,367,258,109,stand
31,375,258,117,stand
32,375,258,117,stand
33,383,266,117,stand
34,375,266,109,stand
35,375,266,109,stand
36,375,266,109,stand
37,375,266,109,stand
38,375,266,109,stand
39,375,266,109,stand
40,375,266,109,stand
41,375,258,117,stand
42,375,258,117,stand
43,375,258,117,stand
44,375,266,109,stand
45,375,266,109,stand
46,383,266,117,stand
47,383,258,125,stand
48,383,258,125,stand
49,383,258,125,stand
50,383,266,117,stand
51,392,275,117,stand
52,392,275,117,stand
53,392,267,125,stand
54,383,258,125,stand
55,375,258,117,stand
56,375,266,109,stand
57,375,266,109,stand
58,383,266,117,stand
59,383,258,125,stand
60,392,267,125,stand
61,384,267,117,stand
62,384,267,117,stand
63,375,258,117,stand
64,375,258,117,stand
65,375,266,109,stand
66,375,266,109,stand
67,375,266,109,stand
68,375,275,100,stand
69,375,275,100,stand
70,375,275,100,stand
71,375,266,109,stand
72,375,266,109,stand
73,375,266,109,stand
74,375,266,109,stand
75,375,266,109,stand
76,375,266,109,stand
77,375,258,117,stand
78,375,258,117,stand
79,375,258,117,stand
80,375,266,109,stand
81,375,266,109,stand
82,375,266,109,stand
83,375,266,109,stand
84,375,266,109,stand
85,375,266,109,stand
86,375,266,109,stand
87,384,275,109,stand
88,392,275,117,stand
89,392,267,125,stand
90,383,258,125,stand
91,375,258,117,stand
92,375,258,117,stand
93,384,267,117,stand
94,392,267,125,stand
95,392,275,117,stand
96,383,266,117,stand
97,383,266,117,stand
98,383,266,117,stand
99,383,266,117,stand
100,375,266,109,stand
101,375,258,117,stand
102,375,258,117,stand
103,375,258,117,stand
104,375,258,117,stand
105,375,258,117,stand
106,375,258,117,stand
107,375,266,109,stand
108,375,266,109,stand
109,375,266,109,stand
110,375,258,117,stand
111,384,267,117,stand
112,375,267,108,stand
113,375,267,108,stand
114,366,258,108,stand
115,375,258,117,stand
116,375,266,109,stand
117,375,266,109,stand
118,375,266,109,stand
119,375,266,109,stand
120,384,275,109,stand
121,384,275,109,stand
122,384,267,117,stand
123,375,258,117,stand
124,375,258,117,stand
125,375,258,117,stand
126,384,267,117,stand
127,384,267,117,stand
128,384,275,109,stand
129,367,258,109,stand
130,367,258,109,stand
131,367,258,109,stand
132,384,275,109,stand
133,375,275,100,stand
134,375,267,108,stand
135,366,258,108,stand
136,375,258,117,stand
137,375,266,109,stand
138,384,275,109,stand
139,392,275,117,stand
140,392,275,117,stand
141,383,266,117,stand
142,375,266,109,stand
143,375,258,117,stand
144,384,267,117,stand
145,384,267,117,stand
146,384,275,109,stand
147,375,266,109,stand
148,375,266,109,stand
149,375,258,117,stand
150,384,267,117,stand
151,392,267,125,stand
152,392,275,117,stand
153,383,266,117,stand
154,375,266,109,stand
155,375,258,117,stand
156,384,267,117,stand
157,384,267,117,stand
158,384,275,109,stand
159,375,266,109,stand
160,383,266,117,stand
161,383,258,125,stand
162,383,258,125,stand
163,383,258,125,stand
164,383,266,117,stand
165,392,275,117,stand
166,384,275,109,stand
167,384,275,109,stand
168,375,266,109,stand
169,375,266,109,stand
170,375,266,109,stand
171,375,266,109,stand
172,375,266,109,stand
173,375,258,117,stand
174,384,267,117,stand
175,384,267,117,stand
176,384,275,109,stand
177,375,266,109,stand
178,375,266,109,stand
179,375,266,109,stand
180,375,266,109,stand
181,383,266,117,stand
182,383,266,117,stand
183,392,275,117,stand
184,384,275,109,stand
185,384,275,109,stand
186,375,266,109,stand
187,383,266,117,stand
188,383,266,117,stand
189,383,266,117,stand
190,375,266,109,stand
191,375,258,117,stand
192,384,267,117,stand
193,384,267,117,stand
194,384,275,109,stand
195,384,275,109,stand
196,392,275,117,stand
197,392,267,125,stand
198,383,258,125,stand
199,383,258,125,stand
200,383,266,117,stand
201,392,275,117,stand
202,392,275,117,stand
203,392,284,108,stand
204,392,284,108,stand
205,384,284,100,stand
206,384,275,109,stand
207,375,266,109,stand
208,375,266,109,stand
209,375,266,109,stand
210,375,266,109,stand
211,375,266,109,stand
212,375,275,100,stand
213,367,267,100,stand
214,367,267,100,stand
215,367,258,109,stand
216,375,266,109,stand
217,375,266,109,stand
218,375,266,109,stand
219,375,266,109,stand
220,375,266,109,stand
221,375,258,117,stand
222,375,258,117,stand
223,375,258,117,stand
224,375,266,109,stand
225,367,258,109,stand
226,367,258,109,stand
227,367,250,117,stand
228,375,258,117,stand
229,375,258,117,stand
230,375,266,109,stand
231,375,266,109,stand
232,375,266,109,stand
233,375,258,117,stand
234,375,258,117,stand
235,383,258,125,stand
236,383,266,117,stand
237,383,266,117,stand
238,375,266,109,stand
239,375,266,109,stand
240,384,275,109,stand
241,392,275,117,stand
242,392,275,117,stand
243,383,266,117,stand
244,375,266,109,stand
245,375,266,109,stand
246,384,275,109,stand
247,384,275,109,stand
248,384,275,109,stand
249,375,266,109,stand
250,375,266,109,stand
251,375,258,117,stand
252,384,267,117,stand
253,392,267,125,stand
254,392,275,117,stand
255,392,275,117,stand
256,392,275,117,stand
257,392,275,117,stand
258,383,266,117,stand
259,375,266,109,stand
260,375,266,109,stand
261,384,275,109,stand
262,392,275,117,stand
263,392,275,117,stand
264,383,266,117,stand
265,375,266,109,stand
266,375,258,117,stand
267,375,258,117,stand
268,375,258,117,stand
269,375,258,117,stand
270,375,258,117,stand
271,375,258,117,stand
272,375,266,109,stand
273,375,266,109,stand
274,375,266,109,stand
275,375,266,109,stand
