index,delta3_1,delta3_2,delta2_1,label
0,367,258,109,stand
1,367,258,109,stand
2,367,258,109,stand
3,367,258,109,stand
4,367,258,109,stand
5,367,250,117,stand
6,375,258,117,stand
7,375,258,117,stand
8,375,266,109,stand
9,375,266,109,stand
10,383,266,117,stand
11,383,275,108,stand
12,383,275,108,stand
13,375,275,100,stand
14,375,266,109,stand
15,367,258,109,stand
16,375,258,117,stand
17,375,258,117,stand
18,383,266,117,stand
19,375,266,109,stand
20,375,258,117,stand
21,375,258,117,stand
22,375,258,117,stand
23,375,258,117,stand
24,375,258,117,stand
25,375,258,117,stand
26,375,266,109,stand
27,375,266,109,stand
28,375,266,109,stand
29,375,258,117,stand
30,367,250,117,stand
31,367,250,117,stand
32,367,250,117,stand
33,375,258,117,stand
34,375,258,117,stand
35,375,266,109,stand
36,375,266,109,stand
37,366,266,100,stand
38,366,258,108,stand
39,358,250,108,stand
40,375,250,125,stand
41,375,250,125,stand
42,383,258,125,stand
43,375,258,117,stand
44,375,266,109,stand
45,367,258,109,stand
46,367,258,109,stand
47,367,258,109,stand
48,375,266,109,stand
49,383,266,117,stand
50,383,266,117,stand
51,383,266,117,stand
52,375,266,109,stand
53,375,266,109,stand
54,375,266,109,stand
55,375,266,109,stand
56,375,258,117,stand
57,375,258,117,stand
58,375,258,117,stand
59,375,266,109,stand
60,375,266,109,stand
61,383,266,117,stand
62,383,258,125,stand
63,375,250,125,stand
64,367,250,117,stand
65,367,258,109,stand
66,384,275,109,stand
67,384,275,109,stand
68,384,267,117,stand
69,375,258,117,stand
70,383,258,125,stand
71,383,258,125,stand
72,383,258,125,stand
73,383,258,125,stand
74,383,266,117,stand
75,392,275,117,stand
76,384,275,109,stand
77,384,275,109,stand
78,384,275,109,stand
79,384,275,109,stand
80,384,275,109,stand
81,384,275,109,stand
82,384,275,109,stand
83,384,275,109,stand
84,384,275,109,stand
85,384,275,109,stand
86,384,275,109,stand
87,375,266,109,stand
88,375,266,109,stand
89,375,258,117,stand
90,384,267,117,stand
91,392,267,125,stand
92,392,275,117,stand
93,383,266,117,stand
94,375,266,109,stand
95,375,266,109,stand
96,384,275,109,stand
97,392,275,117,stand
98,392,275,117,stand
99,383,266,117,stand
100,375,266,109,stand
101,375,266,109,stand
102,375,266,109,stand
103,383,266,117,stand
104,383,266,117,stand
105,392,275,117,stand
106,384,275,109,stand
107,384,267,117,stand
108,375,258,117,stand
109,375,258,117,stand
110,375,266,109,stand
111,384,275,109,stand
112,384,275,109,stand
113,384,275,109,stand
114,375,266,109,stand
115,375,266,109,stand
116,375,266,109,stand
117,384,275,109,stand
118,384,275,109,stand
119,384,275,109,stand
120,375,266,109,stand
121,375,266,109,stand
122,375,266,109,stand
123,384,275,109,stand
124,384,275,109,stand
125,384,267,117,stand
126,384,267,117,stand
127,392,267,125,stand
128,392,275,117,stand
129,392,275,117,stand
130,392,275,117,stand
131,392,275,117,stand
132,392,275,117,stand
133,384,275,109,stand
134,384,275,109,stand
135,375,266,109,stand
136,383,266,117,stand
137,383,266,117,stand
138,392,275,117,stand
139,384,275,109,stand
140,384,275,109,stand
141,384,275,109,stand
142,384,275,109,stand
143,384,275,109,stand
144,375,266,109,stand
145,383,266,117,stand
146,383,258,125,stand
147,383,258,125,stand
148,375,258,117,stand
149,375,266,109,stand
150,384,275,109,stand
151,384,275,109,stand
152,384,267,117,stand
153,384,267,117,stand
154,384,267,117,stand
155,384,275,109,stand
156,375,266,109,stand
157,375,266,109,stand
158,375,266,109,stand
159,375,266,109,stand
160,375,266,109,stand
161,375,266,109,stand
162,384,275,109,stand
163,384,275,109,stand
164,384,267,117,stand
165,375,258,117,stand
166,383,258,125,stand
167,383,266,117,stand
168,383,266,117,stand
169,375,266,109,stand
170,375,266,109,stand
171,375,266,109,stand
172,375,266,109,stand
173,375,258,117,stand
174,384,267,117,stand
175,392,267,125,stand
176,392,275,117,stand
177,392,275,117,stand
178,392,275,117,stand
179,392,275,117,stand
180,392,275,117,stand
181,384,275,109,stand
182,384,275,109,stand
183,375,266,109,stand
184,383,266,117,stand
185,383,266,117,stand
186,392,275,117,stand
187,384,275,109,stand
188,384,267,117,stand
189,384,267,117,stand
190,375,267,108,stand
191,375,275,100,stand
192,366,266,100,stand
193,383,266,117,stand
194,383,266,117,stand
195,375,258,117,stand
196,367,258,109,stand
197,367,250,117,stand
198,375,258,117,stand
199,375,258,117,stand
200,375,266,109,stand
201,375,266,109,stand
202,375,266,109,stand
203,375,266,109,stand
204,384,275,109,stand
205,392,275,117,stand
206,392,275,117,stand
207,383,266,117,stand
208,375,266,109,stand
209,375,266,109,stand
210,375,266,109,stand
211,375,266,109,stand
212,375,266,109,stand
213,375,266,109,stand
214,375,266,109,stand
215,375,266,109,stand
216,375,266,109,stand
217,366,266,100,stand
218,366,258,108,stand
219,366,258,108,stand
220,375,258,117,stand
221,375,258,117,stand
222,367,250,117,stand
223,375,250,125,stand
224,375,250,125,stand
225,383,258,125,stand
226,375,258,117,stand
227,375,258,117,stand
228,375,258,117,stand
229,375,258,117,stand
230,375,258,117,stand
231,375,258,117,stand
232,375,258,117,stand
233,375,266,109,stand
234,384,275,109,stand
235,384,275,109,stand
236,384,275,109,stand
237,375,266,109,stand
238,375,266,109,stand
239,375,266,109,stand
240,375,266,109,stand
241,375,266,109,stand
242,375,258,117,stand
243,375,258,117,stand
244,375,258,117,stand
245,375,258,117,stand
246,375,258,117,stand
247,375,258,117,stand
248,375,258,117,stand
249,375,258,117,stand
250,375,258,117,stand
251,375,258,117,stand
252,375,258,117,stand
253,375,258,117,stand
254,375,266,109,stand
255,375,266,109,stand
256,375,266,109,stand
257,375,258,117,stand
258,375,258,117,stand
259,375,258,117,stand
260,375,266,109,stand
261,375,266,109,stand
262,375,266,109,stand
263,375,266,109,stand
264,367,258,109,stand
265,367,258,109,stand
266,367,258,109,stand
267,375,266,109,stand
268,366,266,100,stand
269,366,258,108,stand
270,366,258,108,stand
271,358,258,100,stand
272,358,258,100,stand
273,358,258,100,stand
274,358,258,100,stand
275,358,266,92,stand
