index,delta3_1,delta3_2,delta2_1,label
0,375,267,108,stand
1,375,267,108,stand
2,375,267,108,stand
3,375,267,108,stand
4,375,267,108,stand
5,375,259,116,stand
6,366,250,116,stand
7,366,250,116,stand
8,366,258,108,stand
9,375,267,108,stand
10,375,267,108,stand
11,375,267,108,stand
12,366,258,108,stand
13,366,258,108,stand
14,366,258,108,stand
15,366,258,108,stand
16,366,258,108,stand
17,366,258,108,stand
18,375,267,108,stand
19,375,267,108,stand
20,375,267,108,stand
21,375,267,108,stand
22,375,267,108,stand
23,375,267,108,stand
24,375,267,108,stand
25,375,267,108,stand
26,375,267,108,stand
27,375,267,108,stand
28,375,267,108,stand
29,375,267,108,stand
30,375,267,108,stand
31,375,267,108,stand
32,375,259,116,stand
33,375,259,116,stand
34,384,259,125,stand
35,384,259,125,stand
36,384,259,125,stand
37,375,259,116,stand
38,375,267,108,stand
39,375,267,108,stand
40,375,267,108,stand
41,375,267,108,stand
42,366,258,108,stand
43,375,258,117,stand
44,375,258,117,stand
45,384,267,117,stand
46,375,267,108,stand
47,375,259,116,stand
48,375,259,116,stand
49,375,259,116,stand
50,375,259,116,stand
51,375,259,116,stand
52,375,259,116,stand
53,375,267,108,stand
54,366,258,108,stand
55,366,258,108,stand
56,366,250,116,stand
57,366,250,116,stand
58,366,250,116,stand
59,366,250,116,stand
60,375,259,116,stand
61,375,259,116,stand
62,375,259,116,stand
63,375,259,116,stand
64,375,259,116,stand
65,375,259,116,stand
66,375,259,116,stand
67,375,259,116,stand
68,375,267,108,stand
69,366,258,108,stand
70,366,258,108,stand
71,366,258,108,stand
72,366,258,108,stand
73,366,258,108,stand
74,366,258,108,stand
75,375,267,108,stand
76,375,267,108,stand
77,375,267,108,stand
78,375,267,108,stand
79,375,267,108,stand
80,375,267,108,stand
81,375,267,108,stand
82,375,267,108,stand
83,375,267,108,stand
84,366,258,108,stand
85,366,258,108,stand
86,366,258,108,stand
87,366,258,108,stand
88,366,258,108,stand
89,366,258,108,stand
90,366,258,108,stand
91,366,258,108,stand
92,366,250,116,stand
93,366,250,116,stand
94,366,250,116,stand
95,366,258,108,stand
96,375,267,108,stand
97,375,267,108,stand
98,375,259,116,stand
99,366,250,116,stand
100,366,250,116,stand
101,366,250,116,stand
102,366,250,116,stand
103,375,250,125,stand
104,375,258,117,stand
105,375,258,117,stand
106,366,258,108,stand
107,366,250,116,stand
108,366,250,116,stand
109,366,250,116,stand
110,366,250,116,stand
111,375,259,116,stand
112,375,259,116,stand
113,375,259,116,stand
114,375,259,116,stand
115,375,259,116,stand
116,375,259,116,stand
117,375,259,116,stand
118,384,259,125,stand
