index,delta3_1,delta3_2,delta2_1,label
0,292,217,75,sit_lay
1,284,217,67,sit_lay
2,284,225,59,sit_lay
3,275,216,59,sit_lay
4,283,216,67,sit_lay
5,283,233,50,sit_lay
6,283,233,50,sit_lay
7,283,233,50,sit_lay
8,283,233,50,sit_lay
9,292,242,50,sit_lay
10,292,242,50,sit_lay
11,292,242,50,sit_lay
12,292,242,50,sit_lay
13,284,242,42,sit_lay
14,284,242,42,sit_lay
15,284,242,42,sit_lay
16,292,242,50,sit_lay
17,292,250,42,sit_lay
18,292,250,42,sit_lay
19,275,250,25,sit_lay
20,275,242,33,sit_lay
21,275,242,33,sit_lay
22,284,242,42,sit_lay
23,284,250,34,sit_lay
24,284,250,34,sit_lay
25,284,250,34,sit_lay
26,284,250,34,sit_lay
27,284,250,34,sit_lay
28,284,250,34,sit_lay
29,284,259,25,sit_lay
30,284,259,25,sit_lay
31,275,259,16,sit_lay
32,275,259,16,sit_lay
33,275,259,16,sit_lay
34,284,259,25,sit_lay
35,284,267,17,sit_lay
36,275,258,17,sit_lay
37,266,258,8,sit_lay
38,266,258,8,sit_lay
39,266,258,8,sit_lay
40,275,258,17,sit_lay
41,275,275,0,sit_lay
42,267,267,0,sit_lay
43,258,267,-9,sit_lay
44,258,258,0,sit_lay
45,258,258,0,sit_lay
46,258,258,0,sit_lay
47,258,242,16,sit_lay
48,258,242,16,sit_lay
49,267,242,25,sit_lay
50,267,250,17,sit_lay
51,275,258,17,sit_lay
52,275,258,17,sit_lay
53,275,266,9,sit_lay
54,267,258,9,sit_lay
55,267,258,9,sit_lay
56,267,250,17,sit_lay
57,267,250,17,sit_lay
58,258,250,8,sit_lay
59,258,258,0,sit_lay
60,258,258,0,sit_lay
61,267,258,9,sit_lay
62,267,258,9,sit_lay
63,275,266,9,sit_lay
64,266,266,0,sit_lay
65,266,266,0,sit_lay
66,258,258,0,sit_lay
67,258,258,0,sit_lay
68,258,258,0,sit_lay
69,258,258,0,sit_lay
70,267,258,9,sit_lay
71,267,258,9,sit_lay
72,267,258,9,sit_lay
73,258,258,0,sit_lay
74,258,258,0,sit_lay
75,258,258,0,sit_lay
76,258,258,0,sit_lay
77,258,258,0,sit_lay
78,258,258,0,sit_lay
79,258,258,0,sit_lay
80,258,258,0,sit_lay
81,250,250,0,sit_lay
82,250,250,0,sit_lay
83,250,250,0,sit_lay
84,250,250,0,sit_lay
85,250,250,0,sit_lay
86,250,242,8,sit_lay
87,258,250,8,sit_lay
88,258,250,8,sit_lay
89,258,258,0,sit_lay
90,258,258,0,sit_lay
91,258,258,0,sit_lay
92,258,258,0,sit_lay
93,250,250,0,sit_lay
94,250,250,0,sit_lay
95,250,250,0,sit_lay
96,241,241,0,sit_lay
97,241,241,0,sit_lay
98,241,241,0,sit_lay
99,250,250,0,sit_lay
100,250,250,0,sit_lay
101,250,250,0,sit_lay
102,250,250,0,sit_lay
103,250,250,0,sit_lay
104,250,250,0,sit_lay
105,250,250,0,sit_lay
106,259,250,9,sit_lay
107,259,250,9,sit_lay
108,250,241,9,sit_lay
109,241,241,0,sit_lay
110,241,250,-9,sit_lay
111,241,250,-9,sit_lay
112,241,250,-9,sit_lay
113,241,241,0,sit_lay
114,241,241,0,sit_lay
115,250,241,9,sit_lay
116,250,241,9,sit_lay
117,250,241,9,sit_lay
118,250,241,9,sit_lay
119,250,250,0,sit_lay
120,250,250,0,sit_lay
121,241,250,-9,sit_lay
122,241,250,-9,sit_lay
123,241,250,-9,sit_lay
124,241,250,-9,sit_lay
125,241,250,-9,sit_lay
126,233,242,-9,sit_lay
127,233,242,-9,sit_lay
128,233,233,0,sit_lay
129,225,225,0,sit_lay
130,234,225,9,sit_lay
131,234,234,0,sit_lay
132,234,234,0,sit_lay
133,225,234,-9,sit_lay
134,225,234,-9,sit_lay
135,233,242,-9,sit_lay
136,242,242,0,sit_lay
137,242,233,9,sit_lay
138,234,225,9,sit_lay
139,234,225,9,sit_lay
140,234,225,9,sit_lay
141,217,208,9,sit_lay
142,217,208,9,sit_lay
143,217,217,0,sit_lay
144,225,225,0,sit_lay
145,216,225,-9,sit_lay
146,216,225,-9,sit_lay
147,216,225,-9,sit_lay
148,225,225,0,sit_lay
149,225,225,0,lay
150,225,225,0,lay
151,225,225,0,lay
152,225,225,0,lay
153,225,225,0,lay
154,225,225,0,lay
155,225,225,0,lay
156,217,217,0,lay
157,208,217,-9,lay
158,208,208,0,lay
159,216,216,0,lay
160,225,216,9,lay
161,225,216,9,lay
162,225,216,9,lay
163,216,216,0,lay
164,216,225,-9,lay
165,216,225,-9,lay
166,225,225,0,lay
167,225,216,9,lay
