index,delta3_1,delta3_2,delta2_1,label
0,375,267,108,stand
1,375,267,108,stand
2,375,258,117,stand
3,375,258,117,stand
4,375,258,117,stand
5,375,267,108,stand
6,383,275,108,stand
7,391,275,116,stand
8,391,275,116,stand
9,383,267,116,stand
10,383,267,116,stand
11,383,267,116,stand
12,375,259,116,stand
13,375,259,116,stand
14,375,250,125,stand
15,383,258,125,stand
16,375,258,117,stand
17,375,258,117,stand
18,367,250,117,stand
19,375,250,125,stand
20,375,259,116,stand
21,391,275,116,stand
22,391,275,116,stand
23,391,275,116,stand
24,383,267,116,stand
25,375,267,108,stand
26,375,267,108,stand
27,375,267,108,stand
28,375,267,108,stand
29,375,275,100,stand
30,367,267,100,stand
31,367,267,100,stand
32,367,259,108,stand
33,383,275,108,stand
34,391,275,116,stand
35,391,266,125,stand
36,383,258,125,stand
37,383,258,125,stand
38,383,267,116,stand
39,383,267,116,stand
40,383,267,116,stand
41,383,258,125,stand
42,383,258,125,stand
43,383,258,125,stand
44,383,267,116,stand
45,383,267,116,stand
46,375,267,108,stand
47,375,275,100,stand
48,375,275,100,stand
49,375,275,100,stand
50,375,267,108,stand
51,375,267,108,stand
52,375,267,108,stand
53,375,267,108,stand
54,375,267,108,stand
55,383,267,116,stand
56,383,267,116,stand
57,383,267,116,stand
58,375,267,108,stand
59,375,267,108,stand
60,375,267,108,stand
61,383,267,116,stand
62,383,267,116,stand
63,383,267,116,stand
64,375,267,108,stand
65,375,267,108,stand
66,375,267,108,stand
67,383,267,116,stand
68,383,267,116,stand
69,375,259,116,stand
70,375,259,116,stand
71,375,259,116,stand
72,383,267,116,stand
73,375,267,108,stand
74,375,258,117,stand
75,375,258,117,stand
76,383,258,125,stand
77,383,258,125,stand
78,383,258,125,stand
79,383,258,125,stand
80,383,267,116,stand
81,383,267,116,stand
82,375,267,108,stand
83,375,267,108,stand
84,375,267,108,stand
85,383,267,116,stand
86,383,267,116,stand
87,375,259,116,stand
88,367,259,108,stand
89,367,259,108,stand
90,375,267,108,stand
91,392,267,125,stand
92,392,267,125,stand
93,384,259,125,stand
94,375,259,116,stand
95,375,267,108,stand
96,383,275,108,stand
97,383,275,108,stand
98,383,258,125,stand
99,383,258,125,stand
100,375,258,117,stand
101,375,258,117,stand
102,375,258,117,stand
103,375,258,117,stand
104,375,267,108,stand
105,375,267,108,stand
106,375,267,108,stand
107,375,267,108,stand
108,375,267,108,stand
109,375,267,108,stand
110,375,267,108,stand
111,375,267,108,stand
112,383,267,116,stand
113,383,267,116,stand
114,383,267,116,stand
115,383,267,116,stand
116,383,258,125,stand
117,391,266,125,stand
118,383,266,117,stand
