id,timestamp,pressure_values
2,62678981,100685
2,62679001,100685
2,62679021,100685
2,62679041,100685
2,62679061,100686
2,62679081,100686
2,62679101,100685
2,62679121,100686
2,62679141,100685
2,62679161,100685
1,62679166,100698
2,62679181,100686
1,62679186,100698
2,62679201,100685
1,62679206,100699
2,62679221,100685
1,62679226,100699
2,62679241,100685
1,62679246,100698
2,62679261,100686
1,62679266,100698
2,62679281,100685
1,62679286,100699
2,62679301,100685
1,62679306,100698
2,62679321,100685
1,62679326,100699
2,62679341,100685
1,62679346,100699
2,62679361,100685
1,62679366,100698
2,62679381,100685
1,62679386,100699
2,62679401,100685
1,62679406,100699
2,62679421,100685
1,62679426,100699
2,62679441,100685
1,62679446,100699
2,62679461,100685
1,62679466,100698
2,62679481,100685
1,62679486,100699
2,62679501,100685
1,62679506,100699
2,62679521,100685
1,62679526,100698
2,62679541,100686
1,62679546,100699
2,62679561,100686
1,62679566,100698
2,62679581,100685
1,62679586,100698
2,62679601,100685
1,62679606,100699
2,62679621,100685
1,62679626,100699
2,62679641,100685
1,62679646,100698
2,62679661,100686
1,62679666,100698
2,62679681,100685
1,62679686,100698
2,62679701,100685
1,62679706,100698
2,62679721,100685
1,62679726,100697
2,62679741,100686
1,62679746,100698
2,62679761,100685
1,62679766,100698
2,62679781,100685
1,62679786,100698
2,62679801,100685
1,62679806,100699
2,62679821,100685
1,62679826,100698
2,62679841,100686
1,62679846,100699
2,62679861,100686
1,62679866,100698
2,62679881,100686
1,62679886,100698
2,62679901,100685
1,62679906,100698
2,62679921,100686
1,62679926,100698
2,62679941,100685
1,62679946,100698
2,62679961,100686
1,62679966,100698
2,62679981,100686
1,62679986,100698
2,62680001,100686
3,62680004,100709
1,62680006,100698
2,62680021,100686
3,62680024,100708
1,62680026,100698
2,62680041,100686
3,62680044,100709
1,62680046,100699
2,62680061,100686
3,62680064,100708
1,62680066,100698
2,62680081,100686
3,62680084,100709
1,62680086,100699
2,62680101,100686
3,62680104,100709
1,62680106,100698
2,62680121,100686
3,62680124,100709
1,62680126,100698
2,62680141,100686
3,62680144,100709
1,62680146,100698
2,62680161,100686
3,62680164,100709
1,62680166,100698
2,62680181,100686
3,62680184,100709
1,62680186,100699
2,62680201,100686
3,62680204,100709
1,62680206,100699
2,62680221,100686
3,62680224,100709
1,62680226,100698
2,62680241,100686
3,62680244,100709
1,62680246,100698
2,62680261,100687
3,62680264,100710
