id,timestamp,pressure_values
1,59055828,100649
2,59055949,100641
3,59055793,100627
1,59055848,100648
2,59055969,100640
3,59055813,100628
1,59055868,100648
2,59055989,100641
3,59055833,100628
1,59055888,100648
2,59056009,100641
3,59055853,100628
1,59055908,100648
2,59056029,100641
3,59055873,100628
1,59056068,100648
2,59056089,100641
3,59055953,100628
1,59056088,100648
2,59056109,100641
3,59055973,100627
1,59056108,100649
2,59056129,100640
3,59055993,100628
1,59056148,100648
2,59056169,100641
3,59056013,100628
1,59056168,100649
2,59056189,100641
3,59056033,100627
1,59056208,100648
2,59056229,100641
3,59056073,100628
1,59056228,100648
2,59056249,100641
3,59056093,100628
1,59056248,100649
2,59056289,100642
3,59056133,100628
1,59056288,100648
2,59056309,100641
3,59056153,100628
1,59056308,100649
2,59056349,100641
3,59056193,100628
1,59056328,100649
2,59056369,100641
3,59056213,100628
1,59056348,100648
2,59056389,100640
3,59056233,100628
1,59056368,100648
2,59056409,100641
3,59056253,100627
1,59056388,100648
2,59056429,100640
3,59056273,100628
1,59056408,100648
2,59056449,100642
3,59056293,100628
1,59056428,100648
2,59056469,100641
3,59056313,100628
1,59056448,100648
2,59056489,100641
3,59056333,100628
1,59056468,100648
2,59056509,100641
3,59056353,100627
1,59056488,100648
2,59056529,100641
3,59056373,100627
1,59056508,100649
2,59056549,100641
3,59056393,100628
1,59056548,100648
2,59056569,100641
3,59056433,100627
1,59056568,100649
2,59056589,100641
3,59056453,100627
1,59056588,100648
2,59056609,100641
3,59056473,100628
1,59056628,100647
2,59056649,100642
3,59056493,100627
1,59056668,100648
2,59056689,100641
3,59056533,100628
1,59056688,100648
2,59056709,100641
3,59056553,100627
1,59056708,100648
2,59056749,100641
3,59056593,100627
1,59056748,100648
2,59056769,100642
3,59056613,100628
1,59056768,100649
2,59056809,100641
3,59056653,100627
1,59056788,100648
2,59056829,100642
3,59056673,100627
1,59056808,100648
2,59056849,100642
3,59056693,100628
1,59056828,100649
2,59056869,100641
3,59056713,100628
1,59056848,100648
2,59056889,100642
3,59056733,100628
1,59056868,100648
2,59056909,100642
3,59056753,100628
1,59056888,100648
2,59056929,100642
3,59056773,100628
1,59056908,100648
2,59056949,100641
3,59056793,100628
1,59056928,100648
2,59056969,100642
3,59056813,100628
1,59056968,100649
2,59057009,100641
3,59056833,100628
1,59056988,100648
2,59057029,100641
3,59056873,100628
1,59057028,100649
2,59057049,100641
3,59056913,100627
1,59057088,100648
2,59057129,100641
3,59056973,100628
1,59057108,100649
2,59057149,100641
3,59056993,100628
1,59057168,100648
2,59057209,100641
3,59057053,100627
1,59057228,100649
2,59057269,100642
3,59057113,100628
1,59057268,100648
2,59057289,100641
3,59057133,100629
1,59057288,100649
2,59057329,100641
3,59057173,100627
1,59057308,100648
2,59057349,100642
3,59057193,100628
1,59057368,100649
2,59057409,100641
3,59057233,100628
1,59057408,100648
2,59057429,100641
3,59057293,100629
1,59057468,100648
2,59057489,100641
3,59057353,100628
1,59057508,100648
2,59057529,100642
3,59057393,100629
1,59057568,100648
2,59057609,100641
3,59057453,100629
1,59057588,100649
2,59057629,100641
3,59057473,100628
1,59057608,100648
2,59057649,100642
3,59057493,100628
1,59057668,100649
2,59057709,100641
3,59057553,100628
1,59057688,100649
2,59057729,100642
3,59057573,100629
1,59057748,100649
2,59057789,100642
3,59057633,100628
1,59057768,100649
2,59057809,100641
3,59057653,100629
1,59057828,100648
2,59057869,100641
3,59057713,100628
1,59057908,100648
2,59057949,100641
3,59057793,100628
1,59057948,100648
2,59057969,100642
3,59057813,100628
1,59057988,100649
2,59058029,100641
3,59057873,100629
1,59058048,100648
2,59058089,100642
3,59057933,100628
1,59058068,100648
2,59058109,100642
3,59057953,100628
1,59058128,100649
2,59058169,100642
3,59058013,100628
1,59058148,100648
2,59058189,100642
3,59058033,100628
1,59058208,100648
2,59058249,100641
3,59058093,100628
1,59058248,100649
2,59058289,100642
3,59058133,100628
1,59058268,100648
2,59058309,100641
3,59058153,100628
1,59058348,100648
2,59058389,100642
3,59058233,100629
1,59058368,100649
2,59058409,100641
3,59058253,100628
1,59058428,100648
2,59058469,100642
3,59058313,100629
1,59058448,100648
2,59058489,100641
3,59058333,100628
1,59058488,100649
2,59058509,100642
3,59058373,100628
1,59058508,100649
2,59058549,100641
3,59058393,100629
1,59058528,100649
2,59058569,100641
3,59058413,100628
1,59058588,100648
2,59058629,100642
3,59058473,100628
1,59058648,100647
2,59058689,100641
3,59058533,100628
1,59058668,100648
2,59058709,100642
3,59058553,100628
1,59058728,100649
2,59058769,100642
3,59058613,100628
1,59058748,100649
2,59058789,100642
3,59058633,100628
1,59058808,100649
2,59058849,100641
3,59058693,100628
1,59058828,100648
2,59058869,100641
3,59058713,100628
1,59058968,100648
2,59059009,100641
3,59058853,100628
1,59059108,100648
2,59059129,100641
3,59058973,100628
1,59059128,100649
2,59059169,100642
3,59059013,100629
1,59059188,100648
2,59059229,100641
3,59059073,100628
1,59059208,100649
2,59059249,100642
3,59059093,100628
1,59059268,100648
2,59059309,100641
3,59059153,100628
1,59059348,100649
2,59059389,100642
3,59059233,100628
1,59059408,100648
2,59059449,100642
3,59059293,100628
1,59059428,100649
2,59059469,100641
3,59059313,100628
1,59059488,100648
2,59059529,100641
3,59059373,100627
1,59059508,100649
2,59059549,100642
3,59059393,100628
1,59059568,100648
2,59059609,100641
3,59059453,100628
1,59059588,100648
2,59059629,100641
3,59059473,100628
1,59059648,100648
2,59059689,100641
3,59059533,100628
1,59059688,100649
2,59059729,100641
3,59059573,100629
1,59059708,100648
2,59059749,100642
3,59059593,100628
1,59059888,100649
2,59059909,100641
3,59059733,100628
1,59059948,100648
2,59059989,100641
3,59059833,100628
1,59059968,100649
2,59060009,100641
3,59059853,100629
1,59060028,100648
2,59060069,100641
3,59059913,100628
1,59060088,100648
2,59060129,100642
3,59059973,100628
1,59060108,100648
2,59060149,100641
3,59059993,100628
1,59060188,100649
2,59060229,100642
3,59060073,100628
1,59060248,100649
2,59060289,100641
3,59060133,100628
1,59060268,100648
2,59060309,100642
3,59060153,100628
1,59060328,100649
2,59060369,100641
3,59060213,100628
1,59060448,100648
2,59060489,100642
3,59060333,100629
1,59060468,100648
2,59060509,100642
3,59060353,100628
1,59060488,100648
2,59060529,100641
3,59060373,100629
1,59060548,100650
2,59060589,100641
3,59060433,100628
1,59060568,100648
2,59060609,100641
3,59060453,100629
1,59060688,100648
2,59060709,100641
3,59060573,100628
1,59060848,100649
2,59060889,100642
3,59060733,100629
1,59060868,100649
2,59060909,100642
3,59060753,100628
1,59060928,100649
2,59060969,100643
3,59060813,100627
1,59060948,100649
2,59060989,100642
3,59060833,100628
1,59061008,100648
2,59061049,100642
3,59060893,100629
1,59061028,100649
2,59061069,100641
3,59060913,100628
1,59061088,100649
2,59061129,100642
3,59060973,100628
1,59061148,100649
2,59061189,100642
3,59061033,100628
1,59061188,100650
2,59061209,100641
3,59061053,100629
1,59061228,100648
2,59061269,100642
3,59061113,100628
1,59061248,100649
2,59061289,100641
3,59061133,100629
1,59061308,100648
2,59061349,100642
3,59061193,100627
1,59061388,100649
2,59061429,100642
3,59061273,100628
1,59061408,100649
2,59061449,100642
3,59061293,100628
1,59061468,100649
2,59061509,100642
3,59061353,100629
1,59061528,100648
2,59061569,100642
3,59061413,100628
1,59061548,100649
2,59061589,100641
3,59061433,100629
1,59061588,100649
2,59061629,100641
3,59061473,100628
1,59061608,100649
2,59061649,100641
3,59061493,100628
1,59061628,100648
2,59061669,100641
3,59061513,100628
1,59061688,100649
2,59061729,100642
3,59061573,100628
1,59061708,100649
2,59061749,100642
3,59061593,100628
1,59061768,100649
2,59061809,100642
3,59061653,100628
1,59061848,100648
2,59061889,100641
3,59061733,100629
1,59061908,100649
2,59061949,100642
3,59061793,100629
1,59061928,100649
2,59061969,100642
3,59061813,100629
1,59061988,100649
2,59062029,100642
3,59061873,100629
1,59062008,100648
2,59062049,100642
3,59061893,100628
1,59062068,100648
2,59062109,100642
3,59061953,100628
1,59062088,100649
2,59062129,100642
3,59061973,100629
1,59062148,100649
2,59062189,100642
3,59062033,100629
1,59062228,100649
2,59062269,100642
3,59062113,100628
1,59062288,100649
2,59062329,100642
3,59062173,100629
1,59062308,100649
2,59062349,100641
3,59062193,100629
1,59062368,100649
2,59062409,100641
3,59062253,100628
1,59062388,100649
2,59062429,100641
3,59062273,100629
1,59062448,100649
2,59062489,100642
3,59062333,100628
1,59062468,100649
2,59062509,100642
3,59062353,100629
1,59062528,100649
2,59062569,100642
3,59062413,100629
1,59062568,100649
2,59062609,100641
3,59062453,100629
1,59062588,100649
2,59062629,100642
3,59062473,100629
1,59062608,100649
2,59062649,100642
3,59062493,100629
1,59062668,100649
2,59062709,100642
3,59062553,100628
1,59062688,100648
2,59062729,100642
3,59062573,100628
1,59062748,100649
2,59062789,100642
3,59062633,100628
1,59062768,100649
2,59062809,100642
3,59062653,100629
1,59062908,100649
2,59062949,100641
3,59062793,100628
1,59062968,100649
2,59063009,100642
3,59062853,100629
1,59062988,100649
2,59063029,100642
3,59062873,100629
1,59063048,100649
2,59063089,100642
3,59062933,100628
1,59063068,100649
