id,timestamp,pressure_values
1,59230548,100660
2,59230527,100653
3,59230493,100639
1,59230628,100660
2,59230529,100653
3,59230573,100640
1,59230688,100661
2,59230549,100654
3,59230633,100639
1,59230708,100660
2,59230569,100653
3,59230653,100640
1,59230748,100660
2,59230589,100654
3,59230693,100639
1,59230768,100660
2,59230609,100654
3,59230713,100639
1,59230808,100660
2,59230629,100653
3,59230753,100639
1,59230848,100660
2,59230681,100653
3,59230793,100639
1,59230868,100660
2,59230757,100652
3,59230813,100639
1,59230928,100661
2,59230815,100653
3,59230853,100639
1,59230948,100660
2,59230833,100653
3,59230873,100639
1,59230968,100660
2,59230873,100653
3,59230893,100638
1,59230988,100660
2,59230891,100653
3,59230913,100640
1,59231028,100659
2,59230929,100653
3,59230953,100639
1,59231048,100660
2,59230969,100653
3,59230973,100639
1,59231088,100660
2,59230987,100653
3,59231013,100640
1,59231108,100660
2,59231045,100654
3,59231033,100639
1,59231208,100660
2,59231065,100653
3,59231133,100640
1,59231228,100659
2,59231083,100653
3,59231153,100639
1,59231388,100660
2,59231141,100653
3,59231273,100640
1,59231408,100660
2,59231161,100654
3,59231293,100639
1,59231428,100661
2,59231199,100653
3,59231313,100640
1,59231488,100660
2,59231333,100653
3,59231353,100639
1,59231508,100660
2,59231429,100653
3,59231373,100640
1,59231548,100660
2,59231467,100653
3,59231413,100640
1,59231568,100660
2,59231487,100653
3,59231433,100639
1,59231588,100661
2,59231505,100653
3,59231473,100640
1,59231628,100660
2,59231525,100653
3,59231493,100640
1,59231648,100660
2,59231563,100653
3,59231533,100640
1,59231668,100660
2,59231583,100653
3,59231553,100640
1,59231708,100660
2,59231601,100653
3,59231593,100639
1,59231768,100659
2,59231659,100653
3,59231653,100639
1,59231788,100660
2,59231679,100653
3,59231673,100639
1,59231828,100660
2,59231737,100653
3,59231713,100639
1,59231848,100660
2,59231775,100654
3,59231733,100639
1,59231888,100661
2,59231909,100653
3,59231773,100639
1,59231908,100660
2,59231929,100653
3,59231793,100639
1,59232048,100660
2,59232089,100654
3,59231933,100640
1,59232188,100660
2,59232149,100653
3,59232073,100639
1,59232228,100659
2,59232209,100653
3,59232113,100639
1,59232248,100660
2,59232229,100653
3,59232133,100639
1,59232288,100660
2,59232269,100653
3,59232153,100639
1,59232308,100661
2,59232289,100653
3,59232193,100639
1,59232348,100660
2,59232349,100653
3,59232233,100639
1,59232388,100660
2,59232389,100653
3,59232273,100640
1,59232408,100660
2,59232409,100653
3,59232293,100639
1,59232428,100660
2,59232429,100653
3,59232313,100639
1,59232448,100660
2,59232449,100653
3,59232333,100640
1,59232468,100661
2,59232469,100653
3,59232353,100640
1,59232508,100660
2,59232529,100652
3,59232393,100639
1,59232528,100661
2,59232549,100653
3,59232413,100639
1,59232608,100660
2,59232609,100654
3,59232493,100639
1,59232648,100660
2,59232669,100653
3,59232533,100639
1,59232688,100660
2,59232689,100653
3,59232573,100640
1,59232828,100660
2,59232789,100653
3,59232713,100639
1,59232908,100660
2,59232889,100653
3,59232793,100639
1,59232928,100660
2,59232909,100653
3,59232813,100640
1,59232948,100660
2,59232929,100653
3,59232833,100639
1,59232968,100660
2,59232949,100653
3,59232853,100639
1,59233008,100660
2,59233009,100653
3,59232893,100640
1,59233028,100660
2,59233029,100653
3,59232913,100639
1,59233048,100659
2,59233049,100654
3,59232933,100640
1,59233068,100660
2,59233069,100653
3,59232953,100639
1,59233108,100660
2,59233089,100653
3,59232993,100640
1,59233128,100660
2,59233109,100653
3,59233013,100639
1,59233168,100660
2,59233169,100654
3,59233053,100640
1,59233188,100660
2,59233189,100653
3,59233073,100639
1,59233208,100660
2,59233209,100653
3,59233093,100639
1,59233248,100660
2,59233269,100653
3,59233133,100639
1,59233268,100660
2,59233289,100653
3,59233153,100639
1,59233288,100660
2,59233309,100653
3,59233173,100640
1,59233308,100660
2,59233329,100653
3,59233193,100640
1,59233328,100659
2,59233349,100653
3,59233213,100640
1,59233348,100660
2,59233369,100654
3,59233233,100640
1,59233408,100661
2,59233429,100654
3,59233293,100639
1,59233588,100660
2,59233569,100653
3,59233473,100639
1,59233628,100661
2,59233629,100652
3,59233513,100639
1,59233668,100660
2,59233689,100653
3,59233553,100640
1,59233688,100660
2,59233709,100653
3,59233573,100639
1,59233788,100660
2,59233809,100653
3,59233673,100640
1,59233808,100660
2,59233829,100653
3,59233693,100640
1,59233828,100661
2,59233849,100654
3,59233713,100639
1,59233868,100661
2,59233909,100653
3,59233753,100639
1,59233908,100660
2,59233929,100653
3,59233793,100639
1,59233928,100660
2,59233949,100653
3,59233813,100640
1,59234048,100660
2,59234029,100654
3,59233933,100639
1,59234068,100660
2,59234049,100653
3,59233953,100640
1,59234128,100661
2,59234109,100653
3,59234013,100640
1,59234208,100660
2,59234169,100653
3,59234093,100640
1,59234248,100660
2,59234189,100653
3,59234133,100640
1,59234268,100660
2,59234209,100654
3,59234153,100639
1,59234308,100660
2,59234269,100653
3,59234193,100640
1,59234328,100660
2,59234289,100653
3,59234213,100639
1,59234388,100660
2,59234349,100653
3,59234273,100638
1,59234408,100660
2,59234369,100653
3,59234293,100640
1,59234428,100660
2,59234389,100653
3,59234313,100640
1,59234468,100660
2,59234449,100653
3,59234353,100639
1,59234488,100660
2,59234469,100654
3,59234373,100640
1,59234508,100660
2,59234489,100653
3,59234393,100640
1,59234528,100660
2,59234509,100653
3,59234413,100640
1,59234548,100660
2,59234529,100653
3,59234433,100640
1,59234608,100660
2,59234589,100653
3,59234493,100639
1,59234628,100660
2,59234609,100653
3,59234513,100640
1,59234648,100660
2,59234629,100653
3,59234533,100639
1,59234708,100661
2,59234729,100653
3,59234593,100639
1,59234728,100660
2,59234749,100653
3,59234613,100640
1,59234748,100660
2,59234769,100653
3,59234633,100640
1,59234788,100661
2,59234809,100654
3,59234673,100640
1,59234808,100660
2,59234829,100654
3,59234693,100639
1,59234828,100660
2,59234849,100653
3,59234713,100639
1,59234848,100661
2,59234869,100653
3,59234733,100639
1,59234948,100660
2,59234969,100653
3,59234833,100640
1,59235008,100660
2,59235029,100653
3,59234893,100640
1,59235088,100661
2,59235129,100654
3,59234973,100640
1,59235128,100660
2,59235149,100653
3,59235013,100640
1,59235148,100660
2,59235189,100654
3,59235033,100640
1,59235188,100661
2,59235209,100652
3,59235073,100639
1,59235368,100661
2,59235349,100653
3,59235253,100639
1,59235428,100661
2,59235389,100654
3,59235313,100640
1,59235448,100660
2,59235409,100654
3,59235333,100639
1,59235468,100659
2,59235429,100653
3,59235353,100639
1,59235488,100661
2,59235469,100653
3,59235373,100639
1,59235568,100660
2,59235569,100654
3,59235453,100640
1,59235588,100660
2,59235589,100653
3,59235473,100640
1,59235628,100660
2,59235649,100653
3,59235513,100640
1,59235688,100660
2,59235709,100654
3,59235573,100640
1,59235708,100660
2,59235729,100653
3,59235593,100640
1,59235748,100661
2,59235789,100654
3,59235633,100640
1,59235968,100660
2,59235969,100653
3,59235853,100639
1,59236008,100661
2,59236029,100653
3,59235893,100640
1,59236208,100660
2,59236249,100654
3,59236093,100640
1,59236248,100660
2,59236269,100653
3,59236133,100640
1,59236268,100661
2,59236289,100654
3,59236153,100640
1,59236288,100661
2,59236309,100654
3,59236173,100639
1,59236308,100660
2,59236329,100653
3,59236193,100639
1,59236328,100661
2,59236349,100653
3,59236213,100640
1,59236348,100660
2,59236369,100654
3,59236233,100640
1,59236408,100661
2,59236429,100654
3,59236293,100639
1,59236428,100660
2,59236449,100653
3,59236313,100640
1,59236608,100660
2,59236629,100654
3,59236493,100640
1,59236628,100661
2,59236649,100653
3,59236513,100640
1,59236748,100660
2,59236769,100654
3,59236633,100640
1,59236808,100660
2,59236789,100653
3,59236693,100640
1,59236828,100660
2,59236809,100653
3,59236713,100640
1,59236908,100660
2,59236829,100654
3,59236793,100639
1,59236928,100661
2,59236869,100654
3,59236813,100639
1,59236968,100661
2,59236889,100654
3,59236853,100641
1,59236988,100661
2,59236909,100653
3,59236873,100640
1,59237008,100661
2,59236929,100653
3,59236893,100640
1,59237028,100661
2,59236949,100653
3,59236913,100640
1,59237068,100660
2,59236969,100653
3,59236953,100640
1,59237128,100661
2,59237029,100653
3,59237013,100640
1,59237208,100661
2,59237155,100653
3,59237093,100640
1,59237228,100660
2,59237169,100654
3,59237113,100640
1,59237288,100660
2,59237269,100654
3,59237173,100639
1,59237408,100660
2,59237449,100653
3,59237293,100640
1,59237448,100661
2,59237469,100653
3,59237333,100640
1,59237468,100660
2,59237489,100654
3,59237353,100640
1,59237508,100661
2,59237549,100653
3,59237393,100640
1,59237608,100660
2,59237609,100654
3,59237493,100640
1,59237628,100660
2,59237629,100654
3,59237513,100640
1,59237668,100660
2,59237689,100653
3,59237553,100640
1,59237688,100660
2,59237709,100653
3,59237573,100640
1,59237748,100660
2,59237769,100654
3,59237633,100640
1,59237768,100660
2,59237789,100654
3,59237653,100640
1,59237808,100660
2,59237849,100654
3,59237693,100639
1,59237888,100661
2,59237869,100654
3,59237773,100640
1,59237908,100660
2,59237889,100654
3,59237793,100640
1,59237968,100660
2,59237949,100653
3,59237853,100639
1,59237988,100661
2,59237969,100654
3,59237873,100640
1,59238028,100660
2,59238029,100654
3,59237913,100640
1,59238048,100660
2,59238049,100654
3,59237933,100640
1,59238068,100660
2,59238069,100653
3,59237953,100640
1,59238088,100661
2,59238089,100653
3,59237973,100639
1,59238128,100661
2,59238109,100653
3,59238013,100640
1,59238168,100660
2,59238169,100654
3,59238053,100640
1,59238228,100661
2,59238229,100654
3,59238113,100640
1,59238328,100660
2,59238369,100654
3,59238213,100640
1,59238388,100660
2,59238389,100653
3,59238273,100639
1,59238408,100660
2,59238409,100653
3,59238293,100639
1,59238428,100660
2,59238429,100653
3,59238313,100639
1,59238468,100660
2,59238449,100654
3,59238353,100639
1,59238528,100660
2,59238509,100653
3,59238413,100640
1,59238548,100661
2,59238529,100654
3,59238433,100641
1,59238568,100660
2,59238549,100654
3,59238453,100639
1,59238588,100660
2,59238569,100653
3,59238473,100640
1,59238608,100660
2,59238589,100654
3,59238493,100640
1,59238648,100661
2,59238649,100653
3,59238533,100639
1,59238668,100661
2,59238669,100653
3,59238553,100639
1,59238728,100660
2,59238689,100654
3,59238613,100639
1,59238748,100660
2,59238709,100654
3,59238633,100640
1,59238788,100661
2,59238729,100654
3,59238673,100640
1,59238808,100660
2,59238749,100654
3,59238693,100639
1,59238828,100660
2,59238769,100654
3,59238713,100640
1,59238888,100660
2,59238869,100654
3,59238773,100640
1,59238928,100661
2,59238889,100654
3,59238813,100640
1,59238968,100660
2,59238949,100654
3,59238853,100640
1,59239028,100660
2,59239049,100653
3,59238913,100640
1,59239048,100660
2,59239069,100654
3,59238933,100639
1,59239088,100661
2,59239129,100653
3,59238973,100639
1,59239128,100661
2,59239149,100654
3,59239013,100640
1,59239228,100660
2,59239249,100654
3,59239113,100640
1,59239248,100661
2,59239269,100654
3,59239133,100640
1,59239268,100661
2,59239289,100653
3,59239153,100640
1,59239288,100661
2,59239309,100653
3,59239173,100639
1,59239388,100660
2,59239429,100654
3,59239273,100640
1,59239408,100661
2,59239449,100654
3,59239293,100640
1,59239528,100660
2,59239549,100654
3,59239413,100640
1,59239588,100661
2,59239609,100653
3,59239473,100640
1,59239668,100661
2,59239669,100654
3,59239553,100640
1,59239688,100661
2,59239689,100654
3,59239573,100640
1,59239728,100661
2,59239749,100653
3,59239613,100641
1,59239748,100661
2,59239769,100654
3,59239633,100640
1,59239808,100661
2,59239829,100653
3,59239693,100640
1,59239848,100660
2,59239889,100653
3,59239733,100640
