id,timestamp,pressure_values
1,59351728,100670
2,59351789,100672
3,59351653,100663
1,59351748,100670
2,59351809,100670
3,59351673,100662
1,59351768,100670
2,59351829,100672
3,59351693,100662
1,59351788,100670
2,59351849,100671
3,59351713,100663
1,59351808,100670
2,59351869,100672
3,59351733,100663
1,59351828,100670
2,59351889,100671
3,59351753,100663
1,59351848,100670
2,59351909,100672
3,59351773,100661
1,59351868,100670
2,59351929,100672
3,59351793,100663
1,59351908,100670
2,59351969,100671
3,59351833,100663
1,59351928,100670
2,59351989,100671
3,59351853,100663
1,59351948,100671
2,59352009,100671
3,59351873,100662
1,59351988,100671
2,59352049,100671
3,59351893,100662
1,59352008,100670
2,59352069,100672
3,59351913,100663
1,59352028,100671
2,59352089,100671
3,59351933,100663
1,59352048,100670
2,59352109,100672
3,59351953,100662
1,59352068,100670
2,59352129,100671
3,59351973,100663
1,59352088,100670
2,59352149,100672
3,59351993,100661
1,59352128,100670
2,59352169,100671
3,59352033,100663
1,59352148,100671
2,59352189,100672
3,59352053,100663
1,59352168,100670
2,59352209,100671
3,59352073,100663
1,59352188,100670
2,59352229,100671
3,59352093,100664
1,59352208,100670
2,59352249,100671
3,59352113,100663
1,59352268,100670
2,59352289,100671
3,59352153,100663
1,59352288,100671
2,59352309,100671
3,59352173,100662
1,59352308,100670
2,59352329,100672
3,59352193,100662
1,59352328,100670
2,59352349,100671
3,59352213,100662
1,59352348,100670
2,59352369,100671
3,59352233,100663
1,59352368,100670
2,59352389,100672
3,59352253,100662
1,59352388,100670
2,59352409,100672
3,59352273,100663
1,59352408,100670
2,59352429,100671
3,59352293,100662
1,59352428,100670
2,59352449,100672
3,59352313,100663
1,59352448,100670
2,59352469,100671
3,59352333,100663
1,59352468,100670
2,59352489,100672
3,59352353,100663
1,59352488,100671
2,59352509,100672
3,59352373,100662
1,59352508,100670
2,59352529,100672
3,59352393,100663
1,59352568,100671
2,59352589,100672
3,59352433,100663
1,59352588,100670
2,59352609,100670
3,59352453,100663
